Autism: Akkermansia, Peptostreptococcaceae, Alistipes, Clostridium, Rothia, Bacteroides vulgatus, Bilophila, Escherichia coli, Ruminococcus gnavus, Lachnospira, Dorea, Porphyromonas, Klebsiella, Lachnospiraceae, Eubacterium, Eubacterium rectale, Bacteroides fragilis, Actinomyces, Faecalibacterium prausnitzii, Ruminococcaceae
Chronic Obstructive Pulmonary Disease: Ruminococcus gnavus, Alloprevotella, Escherichia coli, Rothia, Lachnospira, Granulicatella, Bacteroides vulgatus, Pseudomonas, Bilophila, Veillonella dispar, Anaerotruncus, Neisseria, Rothia mucilaginosa, Eubacterium, Haemophilus, Oscillibacter, Bacteriodes uniformis, Peptostreptococcaceae, Bifidobacterium longum, Staphylococcus
Colorectal cancer: Bifidobacterium longum, Parvimonas micra, Alloprevotella, Escherichia coli, Granulicatella, Lachnospira, Streptococcus gordonii, Rothia, Akkermansia muciniphila, Veillonella dispar, Bifidobacterium dentium, Pseudomonas, Haemophilus, Bacteroides vulgatus, Burkholderia, Streptococcus salivarius, Bacteroides ovatus, Streptococcus anginosus, Bilophila, Bulleidia
Inflammatory Bowel Disease: Clostridium, Alistipes, Akkermansia, Dorea, Enterobacteriaceae, Parabacteroides, Enterococcus, Klebsiella, Rothia, Porphyromonas, Ruminococcaceae, Anaerostipes, Lachnospiraceae, Faecalibacterium prausnitzii, Roseburia, Collinsella, Subdoligranulum, Blautia, Corynebacterium, Fusobacterium
Major depressive disorder: Parabacteroides, Faecalibacterium, Roseburia, Clostridium, Bifidobacterium, Ruminococcus, Bacteroides, Enterococcus, Enterobacteriaceae, Blautia, Alistipes, Ruminococcaceae, Dorea, Klebsiella, Anaerostipes, Akkermansia, Prevotella, Faecalibacterium prausnitzii, Streptococcus, Corynebacterium
Bipolar disorder: Parabacteroides, Roseburia, Clostridium, Enterobacteriaceae, Ruminococcus, Alistipes, Blautia, Faecalibacterium, Enterococcus, Dorea, Klebsiella, Akkermansia, Anaerostipes, Ruminococcaceae, Megamonas, Corynebacterium, Bifidobacterium, Porphyromonas, Fusobacterium, Bacteroides
Chronic fatigue syndrome: Moraxella, Propionibacterium, Firmicutes, Propionibacterium acnes, Campylobacter, Selenomonas, Capnocytophaga, Treponema, Peptostreptococcus, Aggregatibacter, Actinobacteria, Atopobium, Alloprevotella, Peptoniphilus, Streptococcus anginosus, Streptococcus salivarius, Coprobacillus, Lactobacillus crispatus, Staphylococcus epidermidis, Veillonella dispar
Parkinson's Disease: Escherichia coli, Bifidobacterium longum, Bacteroides vulgatus, Parvimonas micra, Alloprevotella, Peptostreptococcaceae, Bilophila, Akkermansia muciniphila, Rothia, Lachnospira, Ruminococcus gnavus, Bacteroides ovatus, Streptococcus gordonii, Eubacterium rectale, Granulicatella, Eubacterium, Bacteriodes uniformis, Clostridium symbiosum, Bifidobacterium dentium, Anaerotruncus
Alzheimer's Disease: Clostridium, Alistipes, Dorea, Akkermansia, Parabacteroides, Rothia, Klebsiella, Enterobacteriaceae, Porphyromonas, Enterococcus, Roseburia, Anaerostipes, Fusobacterium, Corynebacterium, Blautia, Collinsella, Ruminococcaceae, Lachnospiraceae, Phascolarctobacterium, Megamonas
Infective colitis: Fusicatenibacter, Sneathia, Desulfovibrio, Prevotella, Streptococcus, Lactobacillus, Bacteroides, Faecalibacterium, Alphaproteobacteria, Bifidobacterium, Enterobacter, Ruminococcus, Roseburia, Ureaplasma, Parabacteroides, Mycoplasma, Blautia, Coprococcus, Sutterella, Enterococcus
Atherosclerosis: Rothia, Akkermansia, Clostridium, Alistipes, Porphyromonas, Dorea, Collinsella, Klebsiella, Ruminococcus gnavus, Lachnospira, Neisseria, Corynebacterium, Anaerostipes, Enterobacteriaceae, Lachnospiraceae, Fusobacterium, Subdoligranulum, Phascolarctobacterium, Ruminococcaceae, Megamonas
Aggressive periodontitis: Streptococcus anginosus, Veillonella dispar, Propionibacterium acnes, Streptococcus salivarius, Alloprevotella, Lactobacillus crispatus, Peptostreptococcus, Rothia mucilaginosa, Bulleidia, Bacteriodes uniformis, Capnocytophaga, Treponema, Comamonas, Staphylococcus epidermidis, Selenomonas, Bifidobacterium longum, Granulicatella, Bacteroidetes, Peptoniphilus, Pseudomonas
Type 1 Diabetes: Clostridium, Akkermansia, Alistipes, Rothia, Dorea, Porphyromonas, Klebsiella, Ruminococcus gnavus, Lachnospiraceae, Lachnospira, Collinsella, Anaerostipes, Enterobacteriaceae, Enterococcus, Ruminococcaceae, Peptostreptococcaceae, Subdoligranulum, Faecalibacterium prausnitzii, Eubacterium, Neisseria
Esophageal cancer: Clostridium, Roseburia, Parabacteroides, Enterobacteriaceae, Alistipes, Dorea, Blautia, Megamonas, Akkermansia, Ruminococcus, Enterococcus, Klebsiella, Anaerostipes, Corynebacterium, Ruminococcaceae, Porphyromonas, Faecalibacterium, Rothia, Phascolarctobacterium, Collinsella
Acute skin abscess: Fusicatenibacter, Sneathia, Desulfovibrio, Alphaproteobacteria, Ureaplasma, Mitis group streptococci, Mycoplasma, Ammoniphilus, Bacteroides-Prevotella group, Syntrophococcus, Shuttleworthia, Porphyromonas uenonis, Lachnospira multipara, Gardnerella, Desulfovibrio vietnamensis, Moraxella nonliquefaciens, Muvirus, Brachyspira, Tissierellaceae, Dialister propionicifaciens
Necrotizing enterocolitis: Clostridium, Alistipes, Akkermansia, Dorea, Rothia, Klebsiella, Enterobacteriaceae, Porphyromonas, Collinsella, Megamonas, Anaerostipes, Corynebacterium, Parabacteroides, Phascolarctobacterium, Ruminococcaceae, Enterococcus, Roseburia, Blautia, Subdoligranulum, Lachnospiraceae
Caries: Parvimonas micra, Bifidobacterium longum, Veillonella dispar, Streptococcus gordonii, Streptococcus anginosus, Alloprevotella, Streptococcus salivarius, Granulicatella adiacens, Bacteriodes uniformis, Escherichia coli, Lautropia mirabilis, Rothia mucilaginosa, Granulicatella, Burkholderia, Propionibacterium acnes, Lactobacillus crispatus, Bulleidia, Streptococcus mitis, Pseudomonas, Bacteroides ovatus
Atopy: Fusicatenibacter, Sneathia, Desulfovibrio, Alphaproteobacteria, Ureaplasma, Mitis group streptococci, Mycoplasma, Ammoniphilus, Bacteroides-Prevotella group, Syntrophococcus, Brachyspira, Shuttleworthia, Clostridium methylpentosum, Enterobacter, Porphyromonas uenonis, Lachnospira multipara, Desulfovibrio vietnamensis, Dialister propionicifaciens, Acidocella, Gardnerella
Familial adenomatous polyposis: Faecalibacterium, Parabacteroides, Roseburia, Ruminococcus, Enterobacteriaceae, Bifidobacterium, Bacteroides, Clostridium, Enterococcus, Blautia, Alistipes, Ruminococcaceae, Dorea, Anaerostipes, Klebsiella, Faecalibacterium prausnitzii, Akkermansia, Streptococcus, Corynebacterium, Prevotella
Allergy: Faecalibacterium, Parabacteroides, Bifidobacterium, Bacteroides, Roseburia, Ruminococcus, Enterococcus, Clostridium, Enterobacteriaceae, Prevotella, Streptococcus, Blautia, Ruminococcaceae, Alistipes, Lactobacillus, Dorea, Faecalibacterium prausnitzii, Anaerostipes, Coprococcus, Klebsiella
Celiac Disease, Coaliac disease: Firmicutes, Moraxella, Campylobacter, Megamonas, Atopobium, Aggregatibacter, Proteobacteria, Parvimonas, Selenomonas, Gemella, Actinobacteria, Fusobacterium, Acinetobacter, Peptostreptococcus, Capnocytophaga, Prevotella, Blautia, Neisseria, Bacteroidetes, Treponema
Ankylosing spondylitis: Clostridium, Parabacteroides, Alistipes, Roseburia, Dorea, Enterobacteriaceae, Akkermansia, Blautia, Klebsiella, Enterococcus, Ruminococcus, Porphyromonas, Corynebacterium, Fusobacterium, Rothia, Anaerostipes, Megamonas, Faecalibacterium, Ruminococcaceae, Collinsella
Atopic eczema: Clostridium, Alistipes, Parabacteroides, Enterobacteriaceae, Dorea, Akkermansia, Roseburia, Klebsiella, Enterococcus, Anaerostipes, Rothia, Blautia, Porphyromonas, Ruminococcaceae, Corynebacterium, Collinsella, Megamonas, Ruminococcus, Phascolarctobacterium, Lachnospiraceae
HIV infection: Ruminococcus gnavus, Escherichia coli, Bacteroides vulgatus, Alloprevotella, Lachnospira, Rothia, Bilophila, Peptostreptococcaceae, Eubacterium, Eubacterium rectale, Akkermansia muciniphila, Granulicatella, Bifidobacterium longum, Anaerotruncus, Oscillibacter, Akkermansia, Rothia mucilaginosa, Haemophilus, Porphyromonas, Neisseria
Systemic sclerosis: Rothia, Akkermansia, Collinsella, Porphyromonas, Alistipes, Ruminococcus gnavus, Clostridium, Dorea, Neisseria, Klebsiella, Lachnospira, Megamonas, Corynebacterium, Phascolarctobacterium, Anaerostipes, Oscillibacter, Fusobacterium, Subdoligranulum, Eubacterium, Shigella
Primary sclerosing cholangitis: Rothia, Akkermansia, Clostridium, Alistipes, Dorea, Porphyromonas, Klebsiella, Collinsella, Ruminococcus gnavus, Lachnospira, Neisseria, Anaerostipes, Corynebacterium, Lachnospiraceae, Fusobacterium, Enterobacteriaceae, Subdoligranulum, Phascolarctobacterium, Enterococcus, Ruminococcaceae
Preeclamsia: Fusicatenibacter, Sneathia, Desulfovibrio, Prevotella, Streptococcus, Faecalibacterium, Bacteroides, Lactobacillus, Enterobacter, Megamonas, Roseburia, Ruminococcus, Blautia, Firmicutes, Bifidobacterium, Acinetobacter, Parvimonas, Parabacteroides, Moraxella, Campylobacter
Pulmonary tubercolosis: Rhodotorula dairenensis, Human herpesvirus 6, Fibrobacter succinogenes, Mycoplasma pneumoniae, Oligella urethralis, Corynebacterium efficiens, Lactobacillus amylolyticus, Corynebacterium riegelii, Actinomyces neuii, Veillonella montpellierensis, Xylophilus, Eurotiomycetes, Corynebacterium coyleae, Arhtrobacter cumminsii, Nocardia asteroides, Aerococcus urinae, Wallemia mellicola, Lactobacillus acetotolerans, Gemella asaccharolytica, Candidatus Methanomethylophilus alvus
Juvenile idiopathic arthritis: Clostridium, Roseburia, Parabacteroides, Alistipes, Enterobacteriaceae, Blautia, Dorea, Ruminococcus, Megamonas, Enterococcus, Akkermansia, Klebsiella, Corynebacterium, Anaerostipes, Faecalibacterium, Porphyromonas, Ruminococcaceae, Fusobacterium, Rothia, Phascolarctobacterium
Behcet's Disease: Ruminococcus gnavus, Rothia, Lachnospira, Neisseria, Collinsella, Porphyromonas, Akkermansia, Oscillibacter, Eubacterium, Bilophila, Haemophilus, Escherichia coli, Alloprevotella, Alistipes, Dorea, Anaerotruncus, Staphylococcus, Klebsiella, Peptostreptococcaceae, Granulicatella
Sj?gren Syndrome: Ruminococcus gnavus, Alloprevotella, Gemella, Neisseria, Actinobacteria, Granulicatella, Atopobium, Treponema, Oscillibacter, Pseudomonas, Campylobacter, Lachnospira, Anaerotruncus, Rothia, Collinsella, Proteobacteria, Staphylococcus, Propionibacterium acnes, Veillonella dispar, Aggregatibacter
Autoimmune hepatitis: Parabacteroides, Roseburia, Faecalibacterium, Clostridium, Ruminococcus, Enterobacteriaceae, Enterococcus, Bifidobacterium, Blautia, Alistipes, Bacteroides, Dorea, Ruminococcaceae, Anaerostipes, Klebsiella, Akkermansia, Corynebacterium, Faecalibacterium prausnitzii, Porphyromonas, Megamonas
Hepatitis B: Clostridium, Parabacteroides, Alistipes, Roseburia, Dorea, Akkermansia, Enterobacteriaceae, Blautia, Enterococcus, Klebsiella, Porphyromonas, Fusobacterium, Rothia, Corynebacterium, Ruminococcus, Anaerostipes, Megamonas, Ruminococcaceae, Faecalibacterium, Collinsella
Aphthous ulcer: Ruminococcus gnavus, Alloprevotella, Rothia, Neisseria, Collinsella, Lachnospira, Oscillibacter, Gemella, Anaerotruncus, Actinobacteria, Staphylococcus, Bilophila, Granulicatella, Proteobacteria, Pseudomonas, Megamonas, Eubacterium, Campylobacter, Atopobium, Porphyromonas
Pancreatic cancer: Clostridium, Alistipes, Akkermansia, Rothia, Dorea, Porphyromonas, Klebsiella, Collinsella, Corynebacterium, Fusobacterium, Anaerostipes, Enterobacteriaceae, Parabacteroides, Neisseria, Enterococcus, Lachnospiraceae, Ruminococcus gnavus, Blautia, Roseburia, Ruminococcaceae
Tuberculosis: Megamonas, Collinsella, Ruminococcus gnavus, Rothia, Neisseria, Proteobacteria, Porphyromonas, Corynebacterium, Akkermansia, Oscillibacter, Lachnospira, Phascolarctobacterium, Dorea, Fusobacterium, Alistipes, Klebsiella, Staphylococcus, Actinobacteria, Campylobacter, Gemella
Recurrent tonsillitis: Fusicatenibacter, Sneathia, Moraxella nonliquefaciens, Porphyromonas uenonis, Lachnospira multipara, Desulfovibrio vietnamensis, Muvirus, Rhodotorula dairenensis, Twortvirus, Circovirus, Negativibacillus, Gammasphaerolipovirus, Phikzvirus, Solobacterium moorei, Lambdavirus, Tunalikevirus, Fromanvirus, Didymella, Human herpesvirus 6, Betabaculovirus
Atopic dermatitis: Parabacteroides, Bifidobacterium, Faecalibacterium, Clostridium, Enterococcus, Bacteroides, Enterobacteriaceae, Roseburia, Ruminococcaceae, Alistipes, Ruminococcus, Coprococcus, Faecalibacterium prausnitzii, Dorea, Streptococcus, Anaerostipes, Blautia, Akkermansia, Klebsiella, Veillonella
Bacterial vaginosis: Selenomonas, Streptococcus anginosus, Lactobacillus crispatus, Peptostreptococcus, Comamonas, Propionibacterium acnes, Streptococcus salivarius, Capnocytophaga, Staphylococcus epidermidis, Veillonella dispar, Propionibacterium, Psychrobacter, Bulleidia, Staphylococcus aureus, Streptococcus sanguinis, Peptoniphilus, Treponema, Streptococcus oralis, Bacteriodes uniformis, Streptococcus pneumoniae
Cervical cancer: Rothia, Akkermansia, Alistipes, Clostridium, Porphyromonas, Collinsella, Ruminococcus gnavus, Dorea, Lachnospira, Klebsiella, Neisseria, Anaerostipes, Bilophila, Corynebacterium, Eubacterium, Lachnospiraceae, Subdoligranulum, Oscillibacter, Shigella, Peptostreptococcaceae
Asthma: Rothia, Escherichia coli, Ruminococcus gnavus, Lachnospira, Peptostreptococcaceae, Bacteroides vulgatus, Bilophila, Alloprevotella, Eubacterium, Akkermansia, Haemophilus, Porphyromonas, Granulicatella, Eubacterium rectale, Akkermansia muciniphila, Alistipes, Anaerotruncus, Clostridium, Pseudomonas, Neisseria
Rheumatoid Arthritis: Ruminococcus gnavus, Rothia, Lachnospira, Escherichia coli, Bacteroides vulgatus, Bilophila, Akkermansia, Eubacterium, Porphyromonas, Neisseria, Peptostreptococcaceae, Haemophilus, Alloprevotella, Collinsella, Oscillibacter, Alistipes, Anaerotruncus, Granulicatella, Dorea, Clostridium
Periodontal disease: Alloprevotella, Ruminococcus gnavus, Veillonella dispar, Granulicatella, Propionibacterium acnes, Treponema, Pseudomonas, Streptococcus anginosus, Streptococcus salivarius, Rothia mucilaginosa, Bacteriodes uniformis, Gemella, Peptostreptococcus, Capnocytophaga, Anaerotruncus, Escherichia coli, Bulleidia, Lactobacillus crispatus, Lachnospira, Bacteroidetes
Blepharitis: Campylobacter, Aggregatibacter, Actinobacteria, Atopobium, Moraxella, Firmicutes, Megamonas, Propionibacterium, Proteobacteria, Alloprevotella, Ruminococcus gnavus, Gemella, Treponema, Coprobacillus, Propionibacterium acnes, Collinsella, Oscillibacter, Neisseria, Capnocytophaga, Clostridiales
Chronic Rhinosinusitis: Eurotiomycetes, Rhodotorula dairenensis, Penicillium brocae, Human herpesvirus 6, Wallemia mellicola, Penicillium steckii, Ustilaginaceae, Penicillium dierckxii, Pseudozyma churashimaensis, Corynebacterium coyleae, Aspergillus penicillioides, Corynebacterium riegelii, Aspergillus austroafricanus, Thermomyces lanuginosus, Eremothecium sinecaudum, Actinomyces neuii, Pseudomonas putida, Lactobacillus acetotolerans, Lactobacillus helveticus, Amphritea
Conjunctival scarring: Fusicatenibacter, Sneathia, Porphyromonas uenonis, Lachnospira multipara, Desulfovibrio vietnamensis, Muvirus, Moraxella nonliquefaciens, Twortvirus, Negativibacillus, Lambdavirus, Phikzvirus, Gammasphaerolipovirus, Circovirus, Solobacterium moorei, Tunalikevirus, Uetekavirus, Fromanvirus, Pseudeurotiaceae, Zindervirus, Phikmvvirus
Oral lichen planus: Ruminococcus gnavus, Alloprevotella, Gemella, Neisseria, Actinobacteria, Treponema, Pseudomonas, Granulicatella, Atopobium, Oscillibacter, Campylobacter, Anaerotruncus, Lachnospira, Collinsella, Rothia, Staphylococcus, Propionibacterium acnes, Proteobacteria, Aggregatibacter, Bilophila
Heart failure: Clostridium, Parabacteroides, Roseburia, Enterobacteriaceae, Alistipes, Enterococcus, Dorea, Blautia, Ruminococcus, Akkermansia, Faecalibacterium, Klebsiella, Anaerostipes, Ruminococcaceae, Porphyromonas, Corynebacterium, Fusobacterium, Rothia, Bifidobacterium, Megamonas
Refractory celiac disease: Fusicatenibacter, Sneathia, Rhodotorula dairenensis, Porphyromonas uenonis, Lachnospira multipara, Desulfovibrio vietnamensis, Muvirus, Twortvirus, Penicillium brocae, Lactobacillus brevis, Moraxella nonliquefaciens, Negativibacillus, Circovirus, Gammasphaerolipovirus, Human herpesvirus 6, Lambdavirus, Phikzvirus, Solobacterium moorei, Eurotiomycetes, Tunalikevirus
Interstitial cystitis: Ruminococcus gnavus, Rothia, Lachnospira, Collinsella, Neisseria, Alloprevotella, Oscillibacter, Bilophila, Akkermansia, Porphyromonas, Eubacterium, Anaerotruncus, Staphylococcus, Escherichia coli, Granulicatella, Pseudomonas, Peptostreptococcaceae, Gemella, Haemophilus, Alistipes
Coronary artery disease: Clostridium, Alistipes, Parabacteroides, Dorea, Akkermansia, Klebsiella, Enterococcus, Rothia, Enterobacteriaceae, Porphyromonas, Roseburia, Anaerostipes, Blautia, Fusobacterium, Ruminococcaceae, Lachnospiraceae, Corynebacterium, Collinsella, Ruminococcus, Faecalibacterium prausnitzii
Juvenile Idiopathic Arthritis: Parabacteroides, Clostridium, Enterobacteriaceae, Roseburia, Alistipes, Enterococcus, Faecalibacterium, Blautia, Dorea, Ruminococcus, Ruminococcaceae, Akkermansia, Klebsiella, Anaerostipes, Bifidobacterium, Megamonas, Faecalibacterium prausnitzii, Corynebacterium, Porphyromonas, Bacteroides
Preterm birth: Rothia, Akkermansia, Clostridium, Alistipes, Porphyromonas, Collinsella, Dorea, Ruminococcus gnavus, Klebsiella, Neisseria, Lachnospira, Corynebacterium, Anaerostipes, Fusobacterium, Lachnospiraceae, Phascolarctobacterium, Megamonas, Subdoligranulum, Enterobacteriaceae, Eubacterium
Polycystic Ovary Syndrome: Clostridium, Alistipes, Dorea, Parabacteroides, Akkermansia, Enterobacteriaceae, Roseburia, Klebsiella, Enterococcus, Rothia, Porphyromonas, Blautia, Anaerostipes, Corynebacterium, Megamonas, Collinsella, Ruminococcaceae, Fusobacterium, Ruminococcus, Phascolarctobacterium
Trachoma: Moraxella, Selenomonas, Propionibacterium, Propionibacterium acnes, Capnocytophaga, Firmicutes, Peptostreptococcus, Treponema, Streptococcus anginosus, Campylobacter, Lactobacillus crispatus, Peptoniphilus, Staphylococcus epidermidis, Streptococcus salivarius, Comamonas, Aggregatibacter, Alloprevotella, Actinobacteria, Coprobacillus, Veillonella dispar
Colon adenomas: Fusicatenibacter, Moraxella, Firmicutes, Streptococcus pneumoniae, Sneathia, Selenomonas, Campylobacter, Aggregatibacter, Parvimonas, Prevotella nanceiensis, Haemophilus influenzae, Peptostreptococcus, Capnocytophaga, Atopobium, Propionibacterium, Porphyromonas endodontalis, Fusobacterium nucleatum, Streptococcus parasanguinis, Actinobacteria, Mogibacterium
Gestational diabetes: Rothia, Akkermansia, Alistipes, Clostridium, Ruminococcus gnavus, Lachnospira, Porphyromonas, Bilophila, Peptostreptococcaceae, Dorea, Collinsella, Klebsiella, Eubacterium, Neisseria, Lachnospiraceae, Escherichia coli, Oscillibacter, Shigella, Haemophilus, Anaerostipes
Primary Open-Angle Glaucoma: Fusicatenibacter, Sneathia, Desulfovibrio, Mycoplasma, Alphaproteobacteria, Ureaplasma, Gardnerella, Shuttleworthia, Tissierellaceae, Mitis group streptococci, Campylobacter rectus, Corynebacterium pseudodiphtheriticum, Bacteroides-Prevotella group, Enterobacter, Aeromonas, Erwinia, Atopobium vaginae, Salmonella, Streptococcus pneumoniae, Syntrophococcus
Barrett's oesophagus: Fusicatenibacter, Sneathia, Streptococcus pneumoniae, Moraxella, Haemophilus influenzae, Firmicutes, Selenomonas, Porphyromonas endodontalis, Prevotella nanceiensis, Mycoplasma, Capnocytophaga ochracea, Parvimonas, Fusobacterium nucleatum, Streptococcus parasanguinis, Streptococcus sanguinis, Treponema socranskii, Peptostreptococcus, Campylobacter rectus, Staphylococcus aureus, Capnocytophaga
Megaesophagus: Megamonas, Collinsella, Corynebacterium, Neisseria, Rothia, Phascolarctobacterium, Porphyromonas, Akkermansia, Proteobacteria, Alistipes, Ruminococcus gnavus, Dorea, Klebsiella, Fusobacterium, Oscillibacter, Anaerostipes, Clostridium, Lachnospira, Subdoligranulum, Blautia
Pneumonia: Clostridium, Alistipes, Akkermansia, Dorea, Rothia, Klebsiella, Enterobacteriaceae, Porphyromonas, Parabacteroides, Enterococcus, Anaerostipes, Collinsella, Roseburia, Corynebacterium, Ruminococcaceae, Fusobacterium, Blautia, Megamonas, Lachnospiraceae, Phascolarctobacterium
Cutaneous burn: Fusicatenibacter, Sneathia, Moraxella nonliquefaciens, Porphyromonas uenonis, Lachnospira multipara, Desulfovibrio vietnamensis, Muvirus, Rhodotorula dairenensis, Twortvirus, Circovirus, Negativibacillus, Gammasphaerolipovirus, Phikzvirus, Lambdavirus, Solobacterium moorei, Tunalikevirus, Fromanvirus, Uetekavirus, Human herpesvirus 6, Zindervirus
Exacerbations of idiopathic pulmonary fibrosis: Fusicatenibacter, Sneathia, Mycoplasma, Ureaplasma, Alphaproteobacteria, Shuttleworthia, Gardnerella, Corynebacterium pseudodiphtheriticum, Desulfovibrio, Streptococcus pneumoniae, Tissierellaceae, Mitis group streptococci, Moraxella catarrhalis, Haemophilus influenzae, Bacteroides-Prevotella group, Campylobacter concisus, Atopobium vaginae, Capnocytophaga ochracea, Campylobacter rectus, Streptococcus agalactiae
Head/Neck cancer: Fusicatenibacter, Sneathia, Streptococcus pneumoniae, Haemophilus influenzae, Moraxella, Selenomonas, Firmicutes, Prevotella nanceiensis, Porphyromonas endodontalis, Capnocytophaga ochracea, Streptococcus sanguinis, Staphylococcus aureus, Streptococcus parasanguinis, Fusobacterium nucleatum, Peptostreptococcus, Treponema socranskii, Mycoplasma, Parvimonas, Capnocytophaga, Gardnerella vaginalis
Hypertension: Parabacteroides, Clostridium, Enterococcus, Roseburia, Enterobacteriaceae, Alistipes, Faecalibacterium, Dorea, Bifidobacterium, Ruminococcus, Akkermansia, Ruminococcaceae, Blautia, Klebsiella, Anaerostipes, Bacteroides, Faecalibacterium prausnitzii, Porphyromonas, Lachnospiraceae, Rothia
