Colon cancer: Aeromonadaceae, Cellulomonadaceae, Bacillaceae, Nitrospiraceae, Anaerovorax, Alteromonadaceae, Peptostreptococcaceae, Desulfovibrionaceae, Desulfobacteraceae, Promicromonosporaceae, Clostridium cocleatum, Syntrophobacteraceae, Thiotrichaceae, Polyangiaceae, Bifidobacterium catenulatum, Ruminococcus productus, Acidobacteriaceae, Clostridiaceae, Paenibacillaceae, Coxiellaceae
Bacterial Vaginosis: Atopobium, Gardnerella vaginalis, Eggerthella, Lactobacillus  crispatus, Mobiluncus, Lactobacillus iners, Aerococcus, Leptotrichia, Leptotrichia amnionii, Gardnerella, Streptobacillus, Porphyromonas uenonis, Olsenella, Lactobacillus, Atopobium vaginae, Candidate division TM7, Papillibacter, Firmicutes, Betaproteobacteria, Clostridium
Infectious colitis: Proteobacteria, Bacteroidetes, Enterobacteriaceae, Firmicutes, Lachnospiraceae, Staphylococcus, Haemophilus, Clostridium coccoides, Gammaproteobacteria, Veillonella, Coprococcus, Dorea, Ruminococcus, Pasteurellaceae, Streptococcaceae, Haemophilus parainfluenzae, Bacteroidaceae, Prevotella, Faecalibacterium prausnitzii, Bacteroides vulgatus
Ulcerative colitis: Proteobacteria, Firmicutes, Bacteroidetes, Prevotella, Actinobacteria, Staphylococcus, Haemophilus, Enterobacteriaceae, Clostridium coccoides, Lachnospiraceae, Bacteroides vulgatus, Lactobacillus, Bacteroides uniformis, Streptococcus, Clostridium leptum, Faecalibacterium prausnitzii, Bacteroides ovatus, Fusobacterium, Veillonella, Enterococcus
Crohn's disease(CD): Proteobacteria, Firmicutes, Bacteroidetes, Prevotella, Actinobacteria, Staphylococcus, Haemophilus, Lachnospiraceae, Enterobacteriaceae, Lactobacillus, Bacteroides uniformis, Streptococcus, Clostridium coccoides, Faecalibacterium prausnitzii, Bacteroides vulgatus, Fusobacterium, Clostridium leptum, Bacteroides ovatus, Veillonella, Clostridium
Allergic sensitization: Helicobacter pylori, Oxalobacteraceae, Comamonadaceae, Sphingomonadaceae, Clostridium difficile, Tropheryma whipplei, Erysipelotrichaceae, Coriobacteriaceae, Alcaligenaceae, Methanobrevibacter smithii, Escherichia coli, Prevotella copri, Oxalobacter formigenes, Dietzia maris, Staphylococcus epidermidis, Corynebacterium, Acinetobacter, Fusobacterium nucleatum, Propionibacterium, Propionibacterium acnes
Atopic dermatitis: Gardnerella vaginalis, Lactobacillus  crispatus, Eggerthella, Atopobium, Mobiluncus, Aerococcus, Lactobacillus iners, Leptotrichia, Leptotrichia amnionii, Gardnerella, Porphyromonas uenonis, Streptobacillus, Olsenella, Papillibacter, Atopobium vaginae, Candidate division TM7, Betaproteobacteria, Clostridiales, Xanthomonas, Rickettsiales
Atopic sensitisation: Helicobacter pylori, Comamonadaceae, Oxalobacteraceae, Sphingomonadaceae, Clostridium difficile, Methanobrevibacter smithii, Coriobacteriaceae, Alcaligenaceae, Erysipelotrichaceae, Escherichia coli, Tropheryma whipplei, Prevotella copri, Oxalobacter formigenes, Dietzia maris, Staphylococcus epidermidis, Corynebacterium, Acinetobacter, Enterobacter aerogenes, Enterobacter hormaechei, Fusobacterium nucleatum
Eczema: Firmicutes, Staphylococcus, Proteobacteria, Bacteroidetes, Prevotella, Clostridium leptum, Actinobacteria, Enterococcus, Enterobacter aerogenes, Klebsiella pneumoniae, Shigella dysenteriae, Enterobacter hormaechei, Erysipelotrichales, Clostridium coccoides, Comamonadaceae, Sphingomonadaceae, Oxalobacteraceae, Enterobacteriaceae, Escherichia coli, Bacteroidales
Recurrent wheeze: Helicobacter pylori, Oxalobacteraceae, Comamonadaceae, Sphingomonadaceae, Clostridium difficile, Erysipelotrichaceae, Coriobacteriaceae, Alcaligenaceae, Methanobrevibacter smithii, Escherichia coli, Tropheryma whipplei, Prevotella copri, Oxalobacter formigenes, Dietzia maris, Staphylococcus epidermidis, Corynebacterium, Acinetobacter, Enterobacter aerogenes, Enterobacter hormaechei, Klebsiella pneumoniae
Allergy: Staphylococcus, Firmicutes, Proteobacteria, Bacteroidetes, Prevotella, Clostridium leptum, Actinobacteria, Enterococcus, Enterobacter aerogenes, Enterobacter hormaechei, Klebsiella pneumoniae, Shigella dysenteriae, Sphingomonadaceae, Oxalobacteraceae, Comamonadaceae, Clostridium coccoides, Erysipelotrichales, Escherichia coli, Enterobacteriaceae, Faecalibacterium prausnitzii
Asthma: Proteobacteria, Firmicutes, Bacteroidetes, Prevotella, Actinobacteria, Staphylococcus, Haemophilus, Enterobacteriaceae, Clostridium coccoides, Lachnospiraceae, Bacteroides vulgatus, Bacteroides uniformis, Lactobacillus, Streptococcus, Faecalibacterium prausnitzii, Clostridium leptum, Fusobacterium, Bacteroides ovatus, Veillonella, Enterococcus
Inflammatory bowel disease(IBD): Proteobacteria, Firmicutes, Bacteroidetes, Prevotella, Actinobacteria, Staphylococcus, Haemophilus, Lachnospiraceae, Enterobacteriaceae, Clostridium coccoides, Bacteroides uniformis, Streptococcus, Bacteroides vulgatus, Lactobacillus, Faecalibacterium prausnitzii, Fusobacterium, Clostridium leptum, Bacteroides ovatus, Veillonella, Clostridia
Cystic fibrosis: Mobiluncus, Lactobacillus iners, Aerococcus, Atopobium, Gardnerella vaginalis, Gardnerella, Lactobacillus  crispatus, Eggerthella, Leptotrichia amnionii, Leptotrichia, Streptobacillus, Porphyromonas uenonis, Olsenella, Atopobium vaginae, Papillibacter, Candidate division TM7, Lactobacillus, Betaproteobacteria, Firmicutes, Clostridiales
Rheumatoid arthrits: Proteobacteria, Firmicutes, Bacteroidetes, Prevotella, Actinobacteria, Staphylococcus, Haemophilus, Clostridium coccoides, Enterobacteriaceae, Lachnospiraceae, Bacteroides uniformis, Streptococcus, Bacteroides vulgatus, Lactobacillus, Clostridium leptum, Bacteroides ovatus, Faecalibacterium prausnitzii, Fusobacterium, Clostridia, Enterococcus
Psoriasis: Proteobacteria, Firmicutes, Bacteroidetes, Prevotella, Actinobacteria, Staphylococcus, Haemophilus, Lachnospiraceae, Enterobacteriaceae, Clostridium coccoides, Bacteroides uniformis, Streptococcus, Lactobacillus, Bacteroides vulgatus, Faecalibacterium prausnitzii, Clostridium leptum, Fusobacterium, Bacteroides ovatus, Clostridia, Enterococcus
Necrotizing Enterocolitis: Proteobacteria, Bacteroidetes, Firmicutes, Prevotella, Actinobacteria, Staphylococcus, Haemophilus, Lachnospiraceae, Enterobacteriaceae, Clostridium coccoides, Bacteroides vulgatus, Bacteroides uniformis, Lactobacillus, Streptococcus, Faecalibacterium prausnitzii, Clostridium leptum, Veillonella, Fusobacterium, Bacteroides ovatus, Bacteroidaceae
Systemic inflammatory response syndrome: Proteobacteria, Bacteroidetes, Firmicutes, Prevotella, Staphylococcus, Actinobacteria, Enterobacteriaceae, Haemophilus, Lachnospiraceae, Clostridium coccoides, Bacteroides vulgatus, Bacteroides uniformis, Streptococcus, Faecalibacterium prausnitzii, Clostridium leptum, Lactobacillus, Veillonella, Fusobacterium, Enterococcus, Bacteroides ovatus
COPD: Proteobacteria, Firmicutes, Bacteroidetes, Prevotella, Actinobacteria, Staphylococcus, Haemophilus, Lactobacillus, Lachnospiraceae, Enterobacteriaceae, Clostridium coccoides, Bacteroides uniformis, Streptococcus, Bacteroides vulgatus, Faecalibacterium prausnitzii, Fusobacterium, Clostridium leptum, Bacteroides ovatus, Clostridium, Veillonella
Type 2 diabetes: Proteobacteria, Firmicutes, Bacteroidetes, Prevotella, Actinobacteria, Lactobacillus, Haemophilus, Staphylococcus, Lachnospiraceae, Enterobacteriaceae, Bacteroides uniformis, Faecalibacterium prausnitzii, Streptococcus, Clostridium coccoides, Clostridium, Fusobacterium, Bacteroides vulgatus, Clostridium leptum, Bacteroides ovatus, Veillonella
Type 1 diabetes: Proteobacteria, Bacteroidetes, Coprobacillus, Clostridium spiroforme, Mannheimia, Firmicutes, Prevotella, Human intestinal firmicute CO2, Human intestinal firmicute CO35, Human intestinal firmicute CO4, Lachnobacterium, Gram-negative bacterium cL10-2b-4, Mastodon intestinal bacterium AN-22-6, Mogibacterium, Oligella, Oscillibacter, Oscillospira, Oscillospiraceae bacterium NML 061048, Pantoea, Hafnia
Colorectal carcinoma: Proteobacteria, Firmicutes, Bacteroidetes, Prevotella, Actinobacteria, Staphylococcus, Haemophilus, Lachnospiraceae, Bacteroides uniformis, Enterobacteriaceae, Streptococcus, Clostridium coccoides, Lactobacillus, Bacteroides vulgatus, Fusobacterium, Faecalibacterium prausnitzii, Bacteroides ovatus, Clostridium leptum, Clostridia, Veillonella
Kidney stones: Proteobacteria, Firmicutes, Bacteroidetes, Staphylococcus, Prevotella, Actinobacteria, Enterobacteriaceae, Clostridium coccoides, Clostridium leptum, Haemophilus, Shigella dysenteriae, Klebsiella pneumoniae, Enterobacter aerogenes, Enterobacter hormaechei, Enterococcus, Faecalibacterium prausnitzii, Lachnospiraceae, Bacteroides vulgatus, Erysipelotrichales, Sphingomonadaceae
Whipple's disease: Staphylococcus, Proteobacteria, Firmicutes, Bacteroidetes, Enterobacteriaceae, Clostridium coccoides, Gammaproteobacteria, Enterobacter aerogenes, Klebsiella pneumoniae, Shigella dysenteriae, Enterobacter hormaechei, Clostridium leptum, Enterococcus, Comamonadaceae, Sphingomonadaceae, Oxalobacteraceae, Actinobacteria, Prevotella, Prevotellaceae, Erysipelotrichaceae
Liver cirrhosis: Proteobacteria, Bacteroidetes, Firmicutes, Prevotella, Lachnospiraceae, Lactobacillus, Haemophilus, Bacteroidaceae, Faecalibacterium prausnitzii, Enterobacteriaceae, Alistipes, Parabacteroides, Enterococcus faecalis, Parabacteroides distasonis, Veillonella parvula, Odoribacter splanchnicus, Holdemania, Streptococcus salivarius, Lachnospira, Streptococcus vestibularis
Allergic asthma: Staphylococcus, Sphingomonadaceae, Oxalobacteraceae, Comamonadaceae, Helicobacter pylori, Escherichia coli, Methanobrevibacter smithii, Erysipelotrichaceae, Coriobacteriaceae, Alcaligenaceae, Clostridium leptum, Enterobacter aerogenes, Enterobacter hormaechei, Klebsiella pneumoniae, Enterococcus, Shigella dysenteriae, Propionibacterium, Propionibacterium acnes, Bacteroidales, Enterococcus faecium
Clostridium difficile infection(CDI): Proteobacteria, Bacteroidetes, Firmicutes, Prevotella, Actinobacteria, Haemophilus, Lachnospiraceae, Enterobacteriaceae, Staphylococcus, Bacteroides uniformis, Streptococcus, Bacteroides vulgatus, Lactobacillus, Clostridium coccoides, Fusobacterium, Faecalibacterium prausnitzii, Veillonella, Bacteroidaceae, Bacteroides ovatus, Alistipes
Skin and mucosal infections: Firmicutes, Proteobacteria, Bacteroidetes, Prevotella, Actinobacteria, Lactobacillus, Clostridiales, Betaproteobacteria, Staphylococcus, Clostridium, Lactobacillus  crispatus, Eggerthella, Leptotrichia, Gardnerella vaginalis, Atopobium, Leptotrichia amnionii, Porphyromonas uenonis, Streptobacillus, Gardnerella, Olsenella
New-onset untreated rheumatoid arthrits: Enterobacteriaceae, Clostridiales, Megasphaera, Proteobacteria, Lactobacillus  crispatus, Eggerthella, Leptotrichia, Gardnerella vaginalis, Atopobium, Leptotrichia amnionii, Mobiluncus, Lactobacillus iners, Gardnerella, Aerococcus, Olsenella, Porphyromonas uenonis, Streptobacillus, Clostridium, Atopobium vaginae, Papillibacter
