,Colon cancer,Periodontal,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Atopy,Diarrhea Irritable bowel syndrome(IBS),Irritable bowel syndrome(IBS),Constipation Irritable bowel syndrome(IBS),Obesity,Ileal Crohn's disease(CD),Bacterial Vaginosis,Infectious colitis,Ulcerative colitis,Crohn's disease(CD),Allergic sensitization,Atopic dermatitis,Atopic sensitisation,Eczema,Recurrent wheeze,Allergy,Asthma,Inflammatory bowel disease(IBD),Cystic fibrosis,Rheumatoid arthrits,Psoriasis,Necrotizing Enterocolitis,Systemic inflammatory response syndrome,COPD,Type 2 diabetes,Type 1 diabetes,Colorectal carcinoma,Kidney stones,Whipple's disease,Liver cirrhosis,Allergic asthma,Clostridium difficile infection(CDI),Skin and mucosal infections,New-onset untreated rheumatoid arthrits
Allergic sensitization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atopic dermatitis,0.5133016163177971,0.2470457450353193,0.0,0.4929101767715404,0.0,0.0,0.0,0.0,0.0,0.4855782884315658,0.0,0.0,0.0,0.6339687094629084,0.0,0.0,1.000000000000001,0.0,1.000000000000001,0.0,0.7905869246912721,0.598458451079989,0.0,0.3809551063699884,0.0,0.6490960646960214,0.48560361836835,0.0149696237713023,0.6361344537815132,0.5013303508055249,0.7135850905621489,0.4704731577205621,0.4400389840360196,0.0,0.6537709068612867,0.0,0.0,0.0,0.0
Atopic sensitisation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eczema,0.5844646663261386,0.3788072042070791,0.0,0.4929101767715404,0.0,0.0,0.0,0.0,0.0,0.5609517199796847,0.0,0.0,0.0,0.661437494040752,0.0,0.0,1.000000000000001,0.0,1.000000000000001,0.0,0.7905869246912721,0.6731980471812081,0.0,0.3809551063699884,0.0,0.6490960646960214,0.48560361836835,0.0425917709999959,0.6722666139604533,0.6038634055227758,0.7135850905621489,0.5740663535251169,0.4432403087680625,0.0,0.6551777662754799,0.0,0.0,0.0,0.0
Recurrent wheeze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allergy,0.5747094751661046,0.3171156713784678,0.0,0.5089196240099504,0.0,0.0,0.0,0.0,0.0,0.5181347607491683,0.0,0.0,0.0,0.7439383979253442,0.0,0.0,0.7905869246912718,0.0,0.7905869246912718,0.0,1.0000000000000016,0.7108438199423232,0.0,0.4117647354610515,0.0,0.7167697432711408,0.5073124210232013,0.0295850219363773,0.726992583123264,0.5621848960048694,0.7487383468442665,0.5307210384643323,0.4818418329846852,0.0,0.7556429726907009,0.0,0.0,0.0,0.0
Asthma,0.7536394176931682,0.3408214342883717,0.0,0.7967216252109843,0.0,0.0,0.0,0.0,0.0,0.6699328107502792,0.0,0.0,0.0,0.7013171432505045,0.0,0.0,0.5984584510799881,0.0,0.6731980471812075,0.0,0.7108438199423225,1.0,0.0,0.5563310820769758,0.0,0.8383116054942336,0.597292359835775,0.0424476359978008,0.7608513319887903,0.763824730990712,0.6585297677851656,0.6880247299990666,0.4983146760714189,0.0,0.7244959709727956,0.0,0.0,0.0,0.0
Inflammatory bowel disease(IBD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cystic fibrosis,0.4492557606838568,0.3848621041685151,0.0,0.4603001471717102,0.0,0.0,0.0,0.0,0.0,0.4247852923629386,0.0,0.0,0.0,0.3423095825775905,0.0,0.0,0.3809551063699882,0.0,0.3809551063699882,0.0,0.4117647354610514,0.5563310820769755,0.0,0.9999999999999998,0.0,0.4881404506654925,0.4951927195793663,0.0349808143978201,0.3198626494492571,0.2561160762874554,0.3856971733185327,0.2428567080152621,0.476537985143303,0.0,0.4905987782459513,0.0,0.0,0.0,0.0
Rheumatoid arthrits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psoriasis,0.717870227723631,0.3100904369942021,0.0,0.6617264903751761,0.0,0.0,0.0,0.0,0.0,0.5665036041505108,0.0,0.0,0.0,0.756908469319575,0.0,0.0,0.6490960646960209,0.0,0.6490960646960209,0.0,0.7167697432711397,0.8383116054942344,0.0,0.4881404506654925,0.0,1.000000000000001,0.6467267372076767,0.0299560343381725,0.7542412155647069,0.6562942169679552,0.7465618860510808,0.5989644333356913,0.5026510474536307,0.0,0.7658201282063537,0.0,0.0,0.0,0.0
Necrotizing Enterocolitis,0.4100397000406928,0.3403026998578232,0.0,0.5603324616837958,0.0,0.0,0.0,0.0,0.0,0.434023639832585,0.0,0.0,0.0,0.4330343980378223,0.0,0.0,0.4856036183683495,0.0,0.4856036183683495,0.0,0.5073124210232013,0.5972923598357753,0.0,0.4951927195793665,0.0,0.6467267372076763,1.0,0.0266259371246691,0.4258165791711517,0.3596683156498729,0.5086887923863812,0.3232427935363176,0.5511107357144074,0.0,0.5975438337195588,0.0,0.0,0.0,0.0
Systemic inflammatory response syndrome,0.0172388172508447,0.0218739319629903,0.0,0.0368933994965805,0.0,0.0,0.0,0.0,0.0,0.0830454798537399,0.0,0.0,0.0,0.0149780171690862,0.0,0.0,0.0149696237713023,0.0,0.0425917709999959,0.0,0.0295850219363773,0.0424476359978008,0.0,0.0349808143978201,0.0,0.0299560343381725,0.0266259371246691,1.0,0.0149696237713023,0.0074837638128482,0.0149843214908676,0.0074785300449426,0.0362068797344719,0.0,0.0299728494022742,0.0,0.0,0.0,0.0
COPD,0.6978437686109935,0.19231105900953,0.0,0.4142102325811265,0.0,0.0,0.0,0.0,0.0,0.6157939194123492,0.0,0.0,0.0,0.6992714103050206,0.0,0.0,0.6361344537815132,0.0,0.6722666139604534,0.0,0.7269925831232639,0.7608513319887922,0.0,0.3198626494492568,0.0,0.7542412155647075,0.425816579171152,0.0149696237713023,1.000000000000001,0.6954208162291169,0.6361982595227961,0.6672266555656283,0.3597547352165148,0.0,0.7613577420185359,0.0,0.0,0.0,0.0
Type 2 diabetes,0.7565448765164613,0.1553064129707115,0.0,0.3320120394227693,0.0,0.0,0.0,0.0,0.0,0.730505397050869,0.0,0.0,0.0,0.6473309701217623,0.0,0.0,0.5013303508055247,0.0,0.6038634055227757,0.0,0.562184896004869,0.7638247309907129,0.0,0.2561160762874553,0.0,0.6562942169679551,0.3596683156498734,0.0074837638128482,0.6954208162291162,1.0000000000000002,0.5679846576578713,0.781586870992632,0.342430421790815,0.0,0.703542928057809,0.0,0.0,0.0,0.0
Type 1 diabetes,0.5603368157827167,0.2339613889477991,0.0,0.4778459993904858,0.0,0.0,0.0,0.0,0.0,0.4888581324287432,0.0,0.0,0.0,0.7089353973204472,0.0,0.0,0.7135850905621481,0.0,0.7135850905621481,0.0,0.7487383468442654,0.658529767785166,0.0,0.3856971733185329,0.0,0.7465618860510808,0.5086887923863811,0.0149843214908676,0.6361982595227954,0.5679846576578712,1.0000000000000009,0.4871838866093387,0.5167650886316891,0.0,0.7840606222823571,0.0,0.0,0.0,0.0
Colorectal carcinoma,0.750979412491866,0.1426341680924962,0.0,0.3328145033930195,0.0,0.0,0.0,0.0,0.0,0.7680471264121355,0.0,0.0,0.0,0.5813503318317993,0.0,0.0,0.4704731577205621,0.0,0.5740663535251166,0.0,0.5307210384643319,0.6880247299990678,0.0,0.242856708015262,0.0,0.5989644333356907,0.3232427935363177,0.0074785300449426,0.6672266555656274,0.7815868709926321,0.4871838866093386,1.0000000000000002,0.2880360955957747,0.0,0.7489507257943034,0.0,0.0,0.0,0.0
Kidney stones,0.3932231832685029,0.3488556304859552,0.0,0.4666933356998766,0.0,0.0,0.0,0.0,0.0,0.420326517528942,0.0,0.0,0.0,0.389444405613096,0.0,0.0,0.4400389840360195,0.0,0.4432403087680627,0.0,0.4818418329846851,0.4983146760714189,0.0,0.4765379851433031,0.0,0.5026510474536305,0.5511107357144074,0.0362068797344719,0.3597547352165147,0.3424304217908148,0.5167650886316894,0.2880360955957744,1.0,0.0,0.4810936870207309,0.0,0.0,0.0,0.0
Whipple's disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver cirrhosis,0.6521982893639665,0.2658352146517862,0.0,0.5148882679696669,0.0,0.0,0.0,0.0,0.0,0.739848810862859,0.0,0.0,0.0,0.7654979263290227,0.0,0.0,0.6537709068612864,0.0,0.6551777662754794,0.0,0.7556429726907,0.724495970972797,0.0,0.4905987782459514,0.0,0.7658201282063539,0.5975438337195589,0.0299728494022742,0.7613577420185352,0.7035429280578094,0.784060622282357,0.7489507257943036,0.4810936870207314,0.0,1.000000000000001,0.0,0.0,0.0,0.0
Allergic asthma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridium difficile infection(CDI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin and mucosal infections,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New-onset untreated rheumatoid arthrits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
