,Endometrial Neoplasms,Crohn Disease,Inflammatory Bowel Diseases,Constipation,Parkinson Disease,Liver Neoplasms,Urinary Bladder Neoplasms,Pharyngeal Neoplasms,Lung Neoplasms,Biliary Tract Neoplasms,Atherosclerosis,Alzheimer Disease,Irritable Bowel Syndrome,Hypertension,Laryngeal Neoplasms,Rectal Neoplasms,Acute Lymphoblastic Leukemia,Tongue Neoplasms,Pancreatic Neoplasms,Esophageal Neoplasms,Prostatic Neoplasms,Diarrhea,Peripheral Arterial Disease,Breast Neoplasms,Stomach Neoplasms,Gastroesophageal Reflux,Head and Neck Neoplasms,Gastroenteritis,Coronary Heart Disease,Thyroid Neoplasms,Gallbladder Neoplasms,Uterine Cervical Neoplasms,Colorectal Neoplasms,Mouth Neoplasms,Amyotrophic Lateral Sclerosis,Thrombosis,Ovarian Neoplasms,Celiac Disease,Ulcerative Colitis,Diverticular Diseases,Coronary Artery Disease
Atherosclerosis,0.5224598597521842,0.6033975305755798,0.508282639782823,0.2095507855053714,0.5384921261918233,0.5592252923297611,0.5123634458036315,0.0813788458771159,0.5580597694180939,0.2997309344384565,1.0000000000000004,0.5912938349623589,0.239737320771447,0.6424252426614615,0.0813788458771159,0.3857405905466711,0.424078706217778,0.4072164011943628,0.5626490916077322,0.5314971602284451,0.5523167386858666,0.4352452376057131,0.0849974324080101,0.5232095869373448,0.5347337815670263,0.3320656452302052,0.4991094283432585,0.1426469208455161,0.5626183545175988,0.522654130781335,0.4084280097620114,0.4961648685189271,0.5416214348476803,0.4914521364311241,0.4870755933757283,0.5860320776324088,0.5182327844457698,0.4875112491159227,0.593044829973199,0.3185318239233242,1.0000000000000004
Alzheimer Disease,0.4947931090052866,0.5617472411683817,0.5107905319986519,0.1920471213413628,0.6037262554807123,0.5878013449583939,0.5657680364220551,0.0879811740429167,0.6152086378924594,0.3380559066969645,0.5912938349623593,1.0000000000000009,0.1943905450738257,0.6570702301400374,0.0879811740429167,0.4274216581710913,0.3881649136498525,0.3827164933420157,0.5667365625826966,0.5265167060132344,0.5882388699754908,0.3144176434917484,0.0689200044552955,0.6025335920703099,0.5963572870994354,0.2440121527461531,0.5098864581257722,0.1191564977922457,0.4914224433780152,0.562145569001962,0.4228141612239378,0.5192261847277919,0.5826210665231429,0.5393133646088314,0.4544322882059053,0.5436415473028606,0.5518394948537989,0.4415785221430118,0.6031809518343934,0.2991574092896435,0.5912938349623593
Irritable Bowel Syndrome,0.1313418206606237,0.2337131762214013,0.2827423483887312,0.1058512248049926,0.2127898096845571,0.1805033341356475,0.1526562024978318,0.0,0.1476667052882334,0.0503083853179153,0.2397373207714471,0.1943905450738258,1.0,0.2679049873056547,0.0,0.0874329993975948,0.093719749281262,0.1356062599984229,0.1827364499931408,0.1313204098072165,0.1287350055187144,0.2228124549277306,0.1139605764596379,0.2812843385630972,0.1356523790585733,0.2295655645606625,0.1616483804899048,0.0,0.1347488883262569,0.1869005433401069,0.1147827822803312,0.1705729788431754,0.1461568190483739,0.1597191412499849,0.1404023700120088,0.2616689507558323,0.1381273138837654,0.3095238095238095,0.2244085899711334,0.1014692578863682,0.2100877206134915
Hypertension,0.4956082945493215,0.627899295508477,0.5229559995227288,0.4950737714883371,0.5878588572646295,0.666494056211877,0.6316822232742105,0.1740776559556978,0.6978310763064102,0.3531810911375815,0.6424252426614615,0.6570702301400372,0.2679049873056546,1.0000000000000016,0.1740776559556978,0.4066477045718524,0.5099057225733463,0.3894544157437162,0.6550032137134443,0.6146077548339407,0.6878627369777445,0.4689363173156431,0.385694607919935,0.6432828150743533,0.6483125049550876,0.3819818381757203,0.509001837238676,0.4264014327112208,0.4708403725899086,0.6219363935893013,0.4871500743447828,0.4969530907894463,0.6571069073397421,0.5928767400179518,0.53253555515453,0.5419151273376058,0.6082652937172455,0.4366807767192268,0.6418380552958401,0.3294604494504743,0.6424252426614615
Laryngeal Neoplasms,0.0501569862575519,0.0411926277285817,0.0498341620638821,0.1212678125181665,0.1203858530857692,0.0848379683967703,0.0807183003750947,1.0000000000000002,0.0668339609489447,0.025615775978928,0.0813788458771159,0.0879811740429167,0.0,0.1740776559556978,1.0000000000000002,0.0333890281647088,0.0911013611016868,0.0564932682866032,0.0536797188667359,0.1225859796402981,0.0728318404172921,0.0729324957489472,0.0,0.0759671406828455,0.0796970891329172,0.0956365069595007,0.0290496446887063,0.0,0.0374240594282559,0.0456792473218354,0.0,0.0260554529020984,0.0919737585374645,0.1341862600304233,0.0595744896602989,0.1119176588934388,0.0479529448040363,0.1272937693043289,0.0253918358059512,0.0387492129146064,0.0370285723958484
Rectal Neoplasms,0.4521671172387856,0.409863778607579,0.3993394177717509,0.0971763457834007,0.3714079574725445,0.5566171626404621,0.5156635390194878,0.0333890281647088,0.4987449445020331,0.2565857596863901,0.3857405905466709,0.4274216581710909,0.0874329993975948,0.4066477045718524,0.0333890281647088,0.9999999999999998,0.3415491037958121,0.7167770238563828,0.5979158320103974,0.4688376068889556,0.4348030455313225,0.1509789995904149,0.0697474050906156,0.7014471851441475,0.4757882936423269,0.1724333413200379,0.5877832792397171,0.0523105538179617,0.4460904118207369,0.5696568497512426,0.7408247256712742,0.5767876242753677,0.4790626486185599,0.5742992572560529,0.4392008563470262,0.413019714155313,0.5571835741756594,0.2477268316265186,0.3942310552085354,0.3570884029370423,0.3857405905466709
Acute Lymphoblastic Leukemia,0.4641174098085922,0.3624040300739893,0.3398484337902882,0.2083273552466067,0.4136244542006199,0.5299785870204121,0.5266540349094685,0.0911013611016868,0.5075337023985892,0.2280291896045236,0.424078706217778,0.3881649136498522,0.093719749281262,0.5099057225733464,0.0911013611016868,0.341549103795812,0.9999999999999998,0.3087968180395388,0.5030018179524557,0.6039286925039293,0.5391476266535351,0.2771601274759214,0.0407795435870277,0.5149008176916652,0.502842406546953,0.2339959713634336,0.4219216832083249,0.0951522683697314,0.2834658230835943,0.5653615666384176,0.4306521600624896,0.451678768814964,0.5497451628649532,0.4839017043426665,0.4596162248444317,0.3597931432970527,0.5272250215712859,0.3180791490757986,0.4163815445026875,0.3540192055391535,0.424078706217778
Tongue Neoplasms,0.427863344245398,0.4126734940936332,0.3303279099780538,0.1278818812528745,0.410779813895672,0.520015990883909,0.4722175375572545,0.0564932682866032,0.4304262530661413,0.3473085371393053,0.4072164011943627,0.3827164933420156,0.1356062599984229,0.3894544157437164,0.0564932682866032,0.7167770238563833,0.3087968180395389,1.0000000000000009,0.5313014914622888,0.435663234918986,0.3834722108867081,0.1757949887640246,0.039336862882433,0.6700412105837951,0.4142161115003449,0.3025578553567734,0.5776704986024143,0.0590052943236494,0.4355267305087751,0.5548225444277487,0.6591438991701141,0.4592507996316866,0.4345660326430463,0.620232577222468,0.4200215919016088,0.4658782600545871,0.4897905585312359,0.2383382751487432,0.4188645954026954,0.3196041734376174,0.4072164011943627
Pancreatic Neoplasms,0.5961002208218986,0.6049866937132109,0.5285965607667934,0.1770617206728106,0.4978539548365394,0.759620259232979,0.7140677986691053,0.0536797188667359,0.7114266788993202,0.2310080057211599,0.5626490916077325,0.5667365625826963,0.1827364499931407,0.6550032137134447,0.0536797188667359,0.5979158320103974,0.5030018179524557,0.5313014914622884,1.000000000000001,0.6202308129183,0.6530583676393121,0.3006716826664629,0.1121332755921868,0.6684485082338509,0.6807340310058979,0.2833824925454413,0.6006719279783186,0.0930568139881381,0.458032161483062,0.7194312218658191,0.6427443490342253,0.6596030507819254,0.6947882069254383,0.6647788673698065,0.5710244979134447,0.5071180210431715,0.722807447332308,0.391243424985314,0.5773780709682558,0.3943768838148141,0.5295188461038605
Esophageal Neoplasms,0.5298926404350232,0.4719116823218328,0.4154099311784976,0.2054174096953698,0.5377139262117362,0.6474926775060205,0.6524658142971125,0.1225859796402981,0.626757353076839,0.2808993484310302,0.5314971602284454,0.5265167060132346,0.1313204098072164,0.6146077548339416,0.1225859796402981,0.468837606888956,0.6039286925039299,0.435663234918986,0.6202308129183004,1.0000000000000016,0.6262700172783101,0.2828449546155282,0.0698382981452159,0.6278322470341969,0.6352111052203577,0.2941581628201652,0.5399890932862951,0.1047574472178239,0.3953733097998875,0.5986519174401923,0.588316325640331,0.5731837794779467,0.6641819320819944,0.6068588172016041,0.5210356531071687,0.4618316485047589,0.6746218220337622,0.3283010245180412,0.5280242366617975,0.3601447207278683,0.5314971602284454
Prostatic Neoplasms,0.5380906736672599,0.4932221757675444,0.4224753991923785,0.1731102961939132,0.5492227117813068,0.6975783425052672,0.7462235970444795,0.0728318404172921,0.7761452583181928,0.2820853891692733,0.5523167386858662,0.5882388699754898,0.1287350055187144,0.6878627369777434,0.0728318404172921,0.4348030455313224,0.5391476266535351,0.3834722108867077,0.6530583676393107,0.6262700172783087,0.9999999999999998,0.2740892872077038,0.07607037635269,0.8246124864751629,0.7884813344249892,0.2117476375134249,0.4861968419965571,0.1052150788853078,0.3777769089927753,0.6217982924328176,0.4541429594037927,0.5248945781760488,0.7746038389791188,0.5618605101639501,0.5373318186053624,0.4333649219722512,0.7292342554682179,0.3687224849424904,0.5281698284765137,0.3403544848498503,0.5523167386858662
Diarrhea,0.2706974898386594,0.4286107769295927,0.4119133787926625,0.2004722556752137,0.309057433288076,0.3217471280112323,0.2642603097759348,0.0729324957489472,0.2948992381540503,0.1195662382521057,0.4352452376057129,0.3144176434917483,0.2228124549277306,0.468936317315643,0.0729324957489472,0.1509789995904149,0.2771601274759213,0.1757949887640246,0.3006716826664628,0.282844954615528,0.2740892872077038,1.0,0.0507836716119025,0.4073787510517831,0.2697003533076942,0.3534004629549097,0.2923755061119155,0.1777428506416589,0.2893195858469207,0.3198241450670279,0.1860002436604787,0.2584393322906096,0.3097818984365958,0.2491118977260067,0.2641709058048436,0.3738765412975943,0.3077648589901497,0.4190996176021598,0.3963044507927588,0.2260861444935668,0.3960859758313043
Peripheral Arterial Disease,0.078580895377651,0.114731457242355,0.1388002258975514,0.0422200330920749,0.0628694613461931,0.0886103680473201,0.0655725117694472,0.0,0.0698057955613616,0.0535096108547766,0.0849974324080101,0.0689200044552955,0.1139605764596379,0.385694607919935,0.0,0.0697474050906156,0.0407795435870277,0.039336862882433,0.1121332755921868,0.0698382981452159,0.07607037635269,0.0507836716119025,1.0000000000000002,0.1495915184013531,0.0832408947765033,0.099889073731804,0.0758534108063383,0.0909090909090909,0.097720388124263,0.0715656266964513,0.049944536865902,0.0680350824909206,0.1748892111987267,0.0509647191437625,0.0373341150533584,0.1522862259682931,0.0801363477855322,0.0949671470496982,0.0795627226352152,0.1821250481661794,0.0773501650326618
Breast Neoplasms,0.5566823216463547,0.4944272110290139,0.4043190398740326,0.2084200422875624,0.5443323651174166,0.7088828254203939,0.7726242485146501,0.0759671406828455,0.7790940250226539,0.2545312092798852,0.5232095869373448,0.6025335920703093,0.2812843385630972,0.6432828150743526,0.0759671406828455,0.7014471851441475,0.5149008176916652,0.6700412105837944,0.6684485082338504,0.6278322470341964,0.8246124864751637,0.4073787510517832,0.1495915184013531,1.0000000000000004,0.8093468424169672,0.616380526213868,0.5690486457516752,0.2243872776020297,0.4214403164132584,0.6287860715342874,0.6817876243828116,0.5700551777766623,0.7736496224459798,0.5904959332379504,0.5582908006766844,0.4395031303574055,0.7475124309582324,0.3613870838421556,0.5335462320488497,0.3996939800218729,0.5232095869373448
Stomach Neoplasms,0.5456404323015044,0.5187033387452102,0.4337028320209455,0.1391715599502847,0.564150841346668,0.7025284914207227,0.7367944886560872,0.0796970891329173,0.7758006676066797,0.2621289571319483,0.5347337815670269,0.5963572870994349,0.1356523790585733,0.6483125049550875,0.0796970891329173,0.4757882936423271,0.5028424065469534,0.4142161115003449,0.6807340310058975,0.6352111052203574,0.7884813344249904,0.2697003533076942,0.0832408947765033,0.8093468424169676,1.0000000000000004,0.2347560975609755,0.5306374503705156,0.1036195422881633,0.3937016951959491,0.6389082844559232,0.495426829268293,0.5606668131310083,0.7548609322314482,0.6311554462251371,0.5594941165295784,0.4640007570554508,0.7411060257399322,0.3878266734623314,0.5451727651574456,0.3353784630377555,0.5347337815670269
Gastroesophageal Reflux,0.2926071768825647,0.2888980620859395,0.3812772149634683,0.2783431199005694,0.2809240924256874,0.2515218156052366,0.2401658403069898,0.0956365069595007,0.2301035965712911,0.1567874136116326,0.3320656452302053,0.244012152746153,0.2295655645606625,0.3819818381757204,0.0956365069595007,0.1724333413200379,0.2339959713634337,0.3025578553567735,0.2833824925454413,0.2941581628201652,0.2117476375134249,0.3534004629549097,0.099889073731804,0.616380526213868,0.2347560975609755,1.0,0.3056027201086737,0.2663708632848107,0.2433792297574957,0.3014336521535635,0.1890243902439024,0.2093156102355763,0.2334951188682021,0.3219942757082029,0.2278998438002353,0.3618622256281499,0.2421435529645321,0.2782612903765606,0.310833469666606,0.1408218960821514,0.325798065590506
Head and Neck Neoplasms,0.4808240677146091,0.4954053165141125,0.4342994103945556,0.1761393432914695,0.4742157445425464,0.6376926968423001,0.5377495022305556,0.0290496446887063,0.5635211931293348,0.2857456091955291,0.4991094283432583,0.5098864581257715,0.1616483804899048,0.5090018372386756,0.0290496446887063,0.5877832792397174,0.421921683208325,0.5776704986024142,0.6006719279783181,0.5399890932862942,0.4861968419965571,0.2923755061119156,0.0758534108063383,0.5690486457516754,0.5306374503705148,0.3056027201086736,0.9999999999999996,0.1213654572901413,0.4761741655895418,0.6309722875169316,0.6084272336709049,0.5722176466510167,0.5290173912272464,0.5358065020088283,0.4901109488228108,0.5079176516452635,0.616827488490473,0.3708404023003699,0.5355148847218768,0.3174335445324501,0.4991094283432583
Gastroenteritis,0.1178713430664766,0.1434143215529438,0.1214501976603575,0.3799802978286741,0.2698421828973908,0.1021632217099661,0.0906951868693653,0.0,0.1086191559531859,0.1665239603585689,0.1426469208455161,0.1191564977922457,0.0,0.4264014327112208,0.0,0.0523105538179616,0.0951522683697314,0.0590052943236494,0.0930568139881382,0.1047574472178239,0.1052150788853078,0.1777428506416589,0.0909090909090909,0.2243872776020297,0.1036195422881634,0.2663708632848107,0.1213654572901413,1.0000000000000002,0.1172644657491156,0.1073484400446769,0.149833610597706,0.0680350824909206,0.1147496990605675,0.1146706180734657,0.0497788200711446,0.492365963917331,0.1001704347319152,0.1329540058695776,0.1193440839528228,0.0607083493887264,0.1426469208455161
Coronary Heart Disease,0.4307894089050915,0.5364751811459232,0.3468893755303083,0.2087633558310655,0.4460274047001092,0.4452911092402168,0.3866632281837266,0.0374240594282559,0.4183253866368959,0.2588345070847993,0.5626183545175989,0.4914224433780151,0.1347488883262569,0.470840372589909,0.0374240594282559,0.4460904118207371,0.2834658230835944,0.4355267305087752,0.4580321614830624,0.3953733097998876,0.3777769089927755,0.2893195858469208,0.097720388124263,0.4214403164132587,0.3937016951959492,0.2433792297574958,0.4761741655895419,0.1172644657491156,1.0000000000000009,0.4538730110319541,0.4187554394356914,0.4534218802947893,0.4130437686415369,0.4108741011682342,0.3879363480131787,0.513379779259205,0.4220884749561631,0.5226623547200271,0.4732322549528309,0.3306348490964776,0.5626183545175989
Thyroid Neoplasms,0.5722105616991097,0.5851925994834064,0.5099106911343205,0.1661826720058589,0.4982216452382427,0.7455174822629558,0.6501676626989366,0.0456792473218354,0.6628663475045489,0.2773159198088775,0.5226541307813349,0.5621455690019613,0.1869005433401069,0.6219363935893011,0.0456792473218354,0.5696568497512429,0.5653615666384179,0.5548225444277485,0.7194312218658184,0.5986519174401915,0.621798292432818,0.319824145067028,0.0715656266964513,0.6287860715342871,0.6389082844559226,0.3014336521535635,0.630972287516932,0.1073484400446769,0.453873011031954,1.0,0.6334475298879234,0.6284221559602212,0.6324854233554797,0.673690779743481,0.5731095386339929,0.4955145411356031,0.714964324487737,0.3688170721911442,0.5828396737370815,0.3557770109308061,0.5226541307813349
Gallbladder Neoplasms,0.4820823160114387,0.4149626709961677,0.3145537023448613,0.1391715599502847,0.4190834821432386,0.6186625303193322,0.5540969029939838,0.0,0.5193310339282613,0.2645787604696301,0.4084280097620112,0.4228141612239377,0.1147827822803312,0.487150074344783,0.0,0.7408247256712743,0.4306521600624896,0.6591438991701137,0.6427443490342256,0.5883163256403304,0.454142959403793,0.1860002436604788,0.049944536865902,0.6817876243828119,0.4954268292682927,0.1890243902439024,0.6084272336709048,0.149833610597706,0.4187554394356912,0.6334475298879234,1.0000000000000009,0.5606668131310077,0.5117701235467443,0.6813212210637336,0.5287276376165461,0.4333821892408819,0.5888490947092032,0.2573916935983186,0.4541082720910573,0.329819703981881,0.4084280097620112
Uterine Cervical Neoplasms,0.6096515863020685,0.5344997007044756,0.4570549852249993,0.1200681355490883,0.4535679659774417,0.6333058691482604,0.6295434608790402,0.0260554529020984,0.6177577909464581,0.2002291933708987,0.4961648685189269,0.5192261847277913,0.1705729788431754,0.4969530907894464,0.0260554529020984,0.5767876242753678,0.4516787688149639,0.4592507996316863,0.6596030507819249,0.573183779477946,0.5248945781760489,0.2584393322906096,0.0680350824909206,0.570055177776662,0.5606668131310075,0.2093156102355762,0.5722176466510168,0.0680350824909206,0.4534218802947889,0.6284221559602211,0.5606668131310076,0.9999999999999998,0.5882116746604612,0.5301637583869834,0.5066512370242168,0.4786692347044518,0.6462081413808126,0.3468317236477899,0.5478013074461374,0.4058705734201442,0.4573134102195939
Colorectal Neoplasms,0.5837701952620414,0.5262766487857147,0.4784131306723072,0.1784553041105978,0.5338880735239033,0.7125074595045237,0.778391530913851,0.0919737585374645,0.7753565171507772,0.2672965486277605,0.5416214348476801,0.5826210665231423,0.1461568190483739,0.6571069073397414,0.0919737585374645,0.47906264861856,0.5497451628649533,0.4345660326430462,0.6947882069254372,0.664181932081993,0.7746038389791201,0.309781898436596,0.1748892111987266,0.77364962244598,0.7548609322314478,0.2334951188682021,0.5290173912272466,0.1147496990605675,0.4130437686415367,0.6324854233554794,0.5117701235467441,0.5882116746604611,1.000000000000001,0.6021891988868548,0.5678536626172974,0.4555870935242718,0.732288864688873,0.3959326673900966,0.529919537072529,0.3615749453973903,0.5349977504937614
Mouth Neoplasms,0.5286406307143338,0.498478616225282,0.4036552478658145,0.153848847207624,0.5586390961538164,0.6535502398008165,0.6354354948096473,0.1341862600304233,0.6029075777099747,0.2587338296409553,0.491452136431124,0.5393133646088306,0.1597191412499849,0.5928767400179514,0.1341862600304233,0.5742992572560532,0.4839017043426668,0.620232577222468,0.6647788673698054,0.6068588172016031,0.5618605101639499,0.2491118977260068,0.0509647191437625,0.5904959332379496,0.6311554462251359,0.3219942757082028,0.5358065020088286,0.1146706180734657,0.4108741011682343,0.6736907797434806,0.6813212210637337,0.5301637583869837,0.6021891988868544,0.9999999999999984,0.5406903638898236,0.5265986053419777,0.644398577716542,0.3806639533124643,0.5185192906406757,0.3063044136515075,0.491452136431124
