Ulcerative Colitis: Sphingomonas, Enterobacter, Peptococcaceae, Lactobacillaceae, Blautia, Cetobacterium, Neisseria, Prevotella shahii, Bacteroides fragilis, Aeromonas, Treponema putidum, Simonsiella muelleri, Prevotella scopos, Oribacterium, Actinomycetaceae, Sphingobacterium, Christensenellaceae, Anaerobutyricum hallii, Corynebacteriaceae, Alistipes putredinis
Gastroesophageal Reflux: Chlamydia pneumoniae, Firmicutes, Enterococcus faecalis, Escherichia coli, Blautia coccoides, Leptotrichia buccalis, Clostridiaceae, Enterobacteriaceae, Candidatus Arthromitus, Streptococcus, Actinobacteria, Fusobacterium varium, Clostridia, Bacteroidetes, Lactobacillus, Proteobacteria, Bacteroides ovatus, Prevotella, Collinsella aerofaciens, Haemophilus
Laryngeal Neoplasms: Rikenellaceae, Blautia, Dorea, Neisseria, Aggregatibacter, Phascolarctobacterium, Betaproteobacteria, Ruminococcaceae, Lactobacillaceae, Actinomycetaceae, Christensenellaceae, Streptococcus sanguinis, Bifidobacteriaceae, Peptostreptococcaceae, Megasphaera, Oribacterium, Rothia, Bacteroidales, Peptococcaceae, Bacteroides fragilis
Inflammatory Bowel Diseases: Enterobacter, Corynebacteriaceae, Treponema, Moraxella, Lactobacillaceae, Catonella, Sphingomonas, Christensenellaceae, Hydrogenoanaerobacterium, Methylobacterium, Oribacterium, Neisseria, Peptococcaceae, Leptotrichiaceae, Blautia, Abiotrophia, Rhodobacteraceae, Proteus, Sphingobacterium, Campylobacter sp. oral taxon 044
Breast Neoplasms: Enterobacter, Sphingomonas, Lactobacillaceae, Peptococcaceae, Corynebacteriaceae, Blautia, Neisseria, Christensenellaceae, Oribacterium, Bacteroides fragilis, Actinomycetaceae, Sphingobacterium, Aeromonas, Prevotella shahii, Anaerobutyricum hallii, Moraxella, Cetobacterium, Brevundimonas, Treponema putidum, Simonsiella muelleri
Constipation: Blautia, Neisseria, Lactobacillaceae, Enterobacter, Rikenellaceae, Sphingomonas, Christensenellaceae, Corynebacteriaceae, Oribacterium, Peptococcaceae, Actinomycetaceae, Bacteroides fragilis, Peptostreptococcaceae, Brevundimonas, Betaproteobacteria, Sphingobacterium, Leptotrichiaceae, Bacteroidales, Moraxella, Megasphaera
Parkinson Disease: Sphingomonas, Enterobacter, Peptococcaceae, Blautia, Lactobacillaceae, Cetobacterium, Neisseria, Bacteroides fragilis, Prevotella shahii, Aeromonas, Oribacterium, Actinomycetaceae, Treponema putidum, Christensenellaceae, Prevotella scopos, Simonsiella muelleri, Anaerobutyricum hallii, Sphingobacterium, Corynebacteriaceae, Campylobacter ureolyticus
Esophageal Neoplasms: Enterobacter, Corynebacteriaceae, Lactobacillaceae, Sphingomonas, Moraxella, Treponema, Christensenellaceae, Neisseria, Peptococcaceae, Oribacterium, Blautia, Methylobacterium, Leptotrichiaceae, Hydrogenoanaerobacterium, Sphingobacterium, Bacteroides fragilis, Actinomycetaceae, Catonella, Brevundimonas, Rhodobacteraceae
Uterine Cervical Neoplasms: Enterobacter, Corynebacteriaceae, Sphingomonas, Lactobacillaceae, Treponema, Moraxella, Christensenellaceae, Neisseria, Oribacterium, Peptococcaceae, Blautia, Methylobacterium, Hydrogenoanaerobacterium, Leptotrichiaceae, Sphingobacterium, Catonella, Bacteroides fragilis, Actinomycetaceae, Brevundimonas, Proteus
Squamous Intraepithelial Lesions: Chlamydia pneumoniae, Enterococcus faecalis, Firmicutes, Blautia coccoides, Escherichia coli, Leptotrichia buccalis, Enterobacteriaceae, Actinobacteria, Streptococcus, Clostridiaceae, Bacteroidetes, Fusobacterium varium, Proteobacteria, Clostridia, Lactobacillus, Prevotella, Bacteroides ovatus, Candidatus Arthromitus, Bifidobacterium catenulatum, Haemophilus
Thrombosis: Treponema, Catonella, Corynebacteriaceae, Pyramidobacter, Moraxella, Enterobacter, Corynebacteriales, Euryarchaeota, Hydrogenoanaerobacterium, Methylobacterium, Abiotrophia, Planctomycetes, Micrococcus, Rhodobacteraceae, Hydrogenophaga, Serratia, Tannerella, Leptotrichiaceae, Christensenellaceae, Proteus
Head and Neck Neoplasms: Enterobacter, Corynebacteriaceae, Treponema, Moraxella, Lactobacillaceae, Sphingomonas, Christensenellaceae, Oribacterium, Neisseria, Peptococcaceae, Blautia, Methylobacterium, Hydrogenoanaerobacterium, Catonella, Leptotrichiaceae, Sphingobacterium, Bacteroides fragilis, Rhodobacteraceae, Actinomycetaceae, Proteus
Liver Neoplasms: Blautia, Sphingomonas, Lactobacillaceae, Neisseria, Peptococcaceae, Enterobacter, Bacteroides fragilis, Actinomycetaceae, Rikenellaceae, Oribacterium, Christensenellaceae, Cetobacterium, Anaerobutyricum hallii, Corynebacteriaceae, Aeromonas, Sphingobacterium, Brevundimonas, Alistipes putredinis, Campylobacter ureolyticus, Peptostreptococcaceae
Amyotrophic Lateral Sclerosis: Corynebacteriaceae, Treponema, Enterobacter, Moraxella, Catonella, Hydrogenoanaerobacterium, Methylobacterium, Lactobacillaceae, Christensenellaceae, Sphingomonas, Leptotrichiaceae, Oribacterium, Pyramidobacter, Abiotrophia, Rhodobacteraceae, Peptococcaceae, Neisseria, Proteus, Tannerella, Blautia
Endometrial Neoplasms: Treponema, Corynebacteriaceae, Moraxella, Catonella, Enterobacter, Pyramidobacter, Corynebacteriales, Hydrogenoanaerobacterium, Methylobacterium, Euryarchaeota, Abiotrophia, Micrococcus, Rhodobacteraceae, Leptotrichiaceae, Christensenellaceae, Lactobacillaceae, Tannerella, Planctomycetes, Oribacterium, Sphingomonas
Lung Neoplasms: Enterobacter, Blautia, Sphingomonas, Lactobacillaceae, Neisseria, Peptococcaceae, Christensenellaceae, Corynebacteriaceae, Oribacterium, Bacteroides fragilis, Actinomycetaceae, Rikenellaceae, Sphingobacterium, Anaerobutyricum hallii, Aeromonas, Cetobacterium, Brevundimonas, Alistipes putredinis, Prevotella shahii, Peptostreptococcaceae
Rectal Neoplasms: Corynebacteriaceae, Enterobacter, Treponema, Moraxella, Lactobacillaceae, Catonella, Christensenellaceae, Sphingomonas, Methylobacterium, Oribacterium, Hydrogenoanaerobacterium, Neisseria, Leptotrichiaceae, Peptococcaceae, Blautia, Rhodobacteraceae, Proteus, Abiotrophia, Sphingobacterium, Actinomycetaceae
Hypertension: Treponema, Corynebacteriaceae, Enterobacter, Moraxella, Catonella, Hydrogenoanaerobacterium, Methylobacterium, Pyramidobacter, Abiotrophia, Lactobacillaceae, Christensenellaceae, Sphingomonas, Leptotrichiaceae, Oribacterium, Rhodobacteraceae, Peptococcaceae, Euryarchaeota, Proteus, Corynebacteriales, Neisseria
Gastroenteritis: Chlamydia pneumoniae, Firmicutes, Enterobacteriaceae, Actinobacteria, Enterococcus faecalis, Blautia coccoides, Streptococcus, Prevotella, Proteobacteria, Bacteroidetes, Lactobacillus, Escherichia coli, Leptotrichia buccalis, Clostridia, Clostridiaceae, Fusobacterium varium, Haemophilus, Bacteroides ovatus, Bifidobacterium catenulatum, Lachnospiraceae
Prostatic Neoplasms: Treponema, Catonella, Corynebacteriaceae, Moraxella, Pyramidobacter, Enterobacter, Euryarchaeota, Hydrogenoanaerobacterium, Corynebacteriales, Abiotrophia, Methylobacterium, Planctomycetes, Micrococcus, Hathewaya histolytica, Rhodobacteraceae, Hydrogenophaga, Tannerella, Lactobacillus mucosae, Leptotrichiaceae, Proteus
Coronary Heart Disease: Treponema, Catonella, Pyramidobacter, Moraxella, Corynebacteriaceae, Euryarchaeota, Enterobacter, Corynebacteriales, Hydrogenoanaerobacterium, Abiotrophia, Planctomycetes, Micrococcus, Methylobacterium, Hydrogenophaga, Rhodobacteraceae, Serratia, Hathewaya histolytica, Tannerella, Leptotrichiaceae, Lachnoanaerobaculum saburreum
Stomach Neoplasms: Blautia, Sphingomonas, Lactobacillaceae, Peptococcaceae, Neisseria, Enterobacter, Bacteroides fragilis, Cetobacterium, Actinomycetaceae, Rikenellaceae, Oribacterium, Christensenellaceae, Anaerobutyricum hallii, Alistipes putredinis, Aeromonas, Campylobacter ureolyticus, Sphingobacterium, Brevundimonas, Corynebacteriaceae, Prevotella shahii
Alzheimer Disease: Enterobacter, Sphingomonas, Lactobacillaceae, Blautia, Peptococcaceae, Corynebacteriaceae, Neisseria, Christensenellaceae, Oribacterium, Bacteroides fragilis, Actinomycetaceae, Sphingobacterium, Aeromonas, Anaerobutyricum hallii, Rikenellaceae, Brevundimonas, Moraxella, Cetobacterium, Leptotrichiaceae, Prevotella shahii
Tongue Neoplasms: Corynebacteriaceae, Enterobacter, Treponema, Moraxella, Catonella, Hydrogenoanaerobacterium, Lactobacillaceae, Methylobacterium, Sphingomonas, Christensenellaceae, Oribacterium, Leptotrichiaceae, Abiotrophia, Peptococcaceae, Neisseria, Rhodobacteraceae, Pyramidobacter, Proteus, Blautia, Alloprevotella tannerae
Diverticular Diseases: Chlamydia pneumoniae, Enterococcus faecalis, Firmicutes, Blautia coccoides, Enterobacteriaceae, Escherichia coli, Leptotrichia buccalis, Actinobacteria, Streptococcus, Clostridiaceae, Bacteroidetes, Proteobacteria, Fusobacterium varium, Lactobacillus, Prevotella, Clostridia, Bacteroides ovatus, Bifidobacterium catenulatum, Haemophilus, Candidatus Arthromitus
Vascular Stiffness: Chlamydia pneumoniae, Enterococcus faecalis, Firmicutes, Blautia coccoides, Escherichia coli, Enterobacteriaceae, Leptotrichia buccalis, Actinobacteria, Streptococcus, Clostridiaceae, Fusobacterium varium, Bacteroidetes, Proteobacteria, Lactobacillus, Clostridia, Prevotella, Bacteroides ovatus, Bifidobacterium catenulatum, Haemophilus, Candidatus Arthromitus
Urinary Bladder Neoplasms: Enterobacter, Corynebacteriaceae, Treponema, Sphingomonas, Moraxella, Lactobacillaceae, Christensenellaceae, Oribacterium, Neisseria, Peptococcaceae, Hydrogenoanaerobacterium, Blautia, Methylobacterium, Catonella, Leptotrichiaceae, Sphingobacterium, Actinomycetaceae, Bacteroides fragilis, Abiotrophia, Proteus
Thyroid Neoplasms: Enterobacter, Corynebacteriaceae, Lactobacillaceae, Sphingomonas, Neisseria, Blautia, Christensenellaceae, Peptococcaceae, Oribacterium, Moraxella, Treponema, Leptotrichiaceae, Actinomycetaceae, Bacteroides fragilis, Methylobacterium, Sphingobacterium, Rikenellaceae, Hydrogenoanaerobacterium, Brevundimonas, Anaerobutyricum hallii
Ovarian Neoplasms: Treponema, Catonella, Corynebacteriaceae, Moraxella, Enterobacter, Pyramidobacter, Hydrogenoanaerobacterium, Euryarchaeota, Abiotrophia, Corynebacteriales, Methylobacterium, Planctomycetes, Micrococcus, Rhodobacteraceae, Hathewaya histolytica, Leptotrichiaceae, Christensenellaceae, Lactobacillaceae, Lactobacillus mucosae, Tannerella
Pharyngeal Neoplasms: Blautia, Rikenellaceae, Neisseria, Lactobacillaceae, Actinomycetaceae, Sphingomonas, Peptococcaceae, Oribacterium, Bacteroides fragilis, Christensenellaceae, Enterobacter, Streptococcus sanguinis, Peptostreptococcaceae, Betaproteobacteria, Brevundimonas, Phascolarctobacterium, Anaerobutyricum hallii, Corynebacteriaceae, Sphingobacterium, Bacteroidales
Biliary Tract Neoplasms: Chlamydia pneumoniae, Firmicutes, Enterococcus faecalis, Blautia coccoides, Escherichia coli, Enterobacteriaceae, Leptotrichia buccalis, Actinobacteria, Streptococcus, Clostridiaceae, Bacteroidetes, Proteobacteria, Fusobacterium varium, Lactobacillus, Prevotella, Clostridia, Bacteroides ovatus, Bifidobacterium catenulatum, Haemophilus, Candidatus Arthromitus
Acute Lymphoblastic Leukemia: Chlamydia pneumoniae, Candidatus Arthromitus, Aggregatibacter actinomycetemcomitans, Robinsoniella, Acidiphilium, Weissella, Mycoplasma, Fannyhessea vaginae, Methanobacteria, Collinsella aerofaciens, Cutibacterium, Chlamydia, Rikenella, Babesia, Bergeyella, Reoviridae, Retroviridae, Herpesviridae, Micrococcales, Allisonella
Gallbladder Neoplasms: Treponema, Corynebacteriaceae, Catonella, Moraxella, Enterobacter, Pyramidobacter, Methylobacterium, Corynebacteriales, Hydrogenoanaerobacterium, Euryarchaeota, Micrococcus, Rhodobacteraceae, Abiotrophia, Leptotrichiaceae, Christensenellaceae, Planctomycetes, Lactobacillaceae, Tannerella, Sphingomonas, Oribacterium
