Lactobacillus: Hypertension, Thyroid carcinoma, Infantile eczema, Major depressive disorder, Hepatocellular cancer, Coronary artery disease, Multiple Sclerosis, Alcoholism, Inflammatory Bowel Disease, Ankylosing spondylitis, Cholestasis, Hepatitis B, Type 1 Diabetes, Non-alcoholic fatty liver disease, Alzheimer's Disease, Primary sclerosing cholangitis, Autism spectrum disorders, Pancreatic cancer, Chronic kidney disease, Primary biliary cholangitis
Lactobacillus rogosae: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, Uveitits, HIV infection, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Lachnospira pectinoschiza: Parkinson's Disease, Colorectal cancer, Type 2 Diabetes, periodontitis, Caries, Crohn's Disease, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Aerobic vaginitis, Autism spectrum disorders, Uveitits, Aggressive periodontitis
Roseburia: Multiple Sclerosis, Hepatocellular cancer, Infantile eczema, Coronary artery disease, Alcoholism, Hypertension, Thyroid carcinoma, Ankylosing spondylitis, Inflammatory Bowel Disease, Cholestasis, Major depressive disorder, Hepatitis B, Type 1 Diabetes, Primary sclerosing cholangitis, Chronic kidney disease, Non-alcoholic fatty liver disease, Alzheimer's Disease, Pancreatic cancer, Rheumatoid Arthritis, Autism spectrum disorders
Sutterella wadsworthensis: Type 2 Diabetes, Crohn's Disease, Ulcerative Colitis, Parkinson's Disease, Psoriasis, Colorectal cancer, Cirrhosis, Obesity, Cystic Fibrosis, Schizophrenia, Caries, Autism, HIV infection, periodontitis, Asthma, Autism spectrum disorders, Irritable Bowel Syndrome, Rheumatoid Arthritis, Chronic Obstructive Pulmonary Disease, Oral cancer
Bacteroides coprophilus: Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Colorectal cancer, Caries, Ulcerative Colitis, periodontitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis
Desulfotomaculum: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Caries, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cystic Fibrosis, Cirrhosis, Uveitits, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Prevotella copri: Rheumatoid Arthritis, Cystic Fibrosis, HIV infection, Obesity, Cirrhosis, Systemic lupus erythematosus, Chronic Obstructive Pulmonary Disease, Type 2 Diabetes, Oral cancer, Chronic kidney disease, Smoking, Irritable Bowel Syndrome, Crohn's Disease, Ulcerative Colitis, Behcet's Disease, Psoriasis, Asthma, Autism spectrum disorders, Schizophrenia, Parkinson's Disease
Megamonas funiformis: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Caries, periodontitis, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Aggressive periodontitis
Ruminococcus gnavus: Rheumatoid Arthritis, Systemic lupus erythematosus, HIV infection, Chronic Obstructive Pulmonary Disease, Cystic Fibrosis, Chronic kidney disease, Obesity, Cirrhosis, Smoking, Behcet's Disease, Oral cancer, Type 2 Diabetes, Irritable Bowel Syndrome, Crohn's Disease, Asthma, Ulcerative Colitis, Psoriasis, Autism spectrum disorders, Non-alcoholic fatty liver disease, Sj?gren Syndrome
Dialister invisus: Type 2 Diabetes, Crohn's Disease, Obesity, Cystic Fibrosis, Parkinson's Disease, Colorectal cancer, Caries, periodontitis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Asthma, Schizophrenia, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Autism, Rheumatoid Arthritis, Oral cancer, Autism spectrum disorders
Bifidobacterium adolescentis: Type 2 Diabetes, Obesity, Cystic Fibrosis, Crohn's Disease, HIV infection, Cirrhosis, Ulcerative Colitis, Psoriasis, Parkinson's Disease, Chronic Obstructive Pulmonary Disease, Asthma, Irritable Bowel Syndrome, Rheumatoid Arthritis, Colorectal cancer, Caries, periodontitis, Schizophrenia, Oral cancer, Systemic lupus erythematosus, Autism
Parvimonas micra: Type 2 Diabetes, Obesity, Cystic Fibrosis, Crohn's Disease, periodontitis, Caries, HIV infection, Parkinson's Disease, Colorectal cancer, Cirrhosis, Psoriasis, Ulcerative Colitis, Chronic Obstructive Pulmonary Disease, Asthma, Irritable Bowel Syndrome, Schizophrenia, Rheumatoid Arthritis, Oral cancer, Aggressive periodontitis, Smoking
Prevotella melaninogenica: Obesity, Cystic Fibrosis, Type 2 Diabetes, HIV infection, Chronic Obstructive Pulmonary Disease, Smoking, Rheumatoid Arthritis, Cirrhosis, Systemic lupus erythematosus, Crohn's Disease, Irritable Bowel Syndrome, Oral cancer, Aggressive periodontitis, Psoriasis, Caries, periodontitis, Asthma, Parkinson's Disease, Sj?gren Syndrome, Colorectal cancer
Peptostreptococcus anaerobius: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Cystic Fibrosis, Schizophrenia, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Oral cancer, Rheumatoid Arthritis
Staphylococcus aureus: Obesity, Type 2 Diabetes, periodontitis, Cystic Fibrosis, Caries, Aggressive periodontitis, HIV infection, Chronic Obstructive Pulmonary Disease, Crohn's Disease, Colorectal cancer, Parkinson's Disease, Smoking, Cirrhosis, Psoriasis, Irritable Bowel Syndrome, Asthma, Oral cancer, Systemic lupus erythematosus, Rheumatoid Arthritis, Periodontal disease
Streptococcus anginosus: Cystic Fibrosis, Obesity, Type 2 Diabetes, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, periodontitis, HIV infection, Smoking, Caries, Systemic lupus erythematosus, Crohn's Disease, Colorectal cancer, Oral cancer, Irritable Bowel Syndrome, Cirrhosis, Rheumatoid Arthritis, Parkinson's Disease, Psoriasis, Sj?gren Syndrome, Asthma
Streptococcus mutans: Type 2 Diabetes, Obesity, Cystic Fibrosis, periodontitis, Crohn's Disease, Caries, Colorectal cancer, Parkinson's Disease, HIV infection, Psoriasis, Cirrhosis, Chronic Obstructive Pulmonary Disease, Ulcerative Colitis, Asthma, Irritable Bowel Syndrome, Aggressive periodontitis, Schizophrenia, Rheumatoid Arthritis, Oral cancer, Smoking
Bacteroides ureolyticus: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Uveitits, Aerobic vaginitis, Chronic Obstructive Pulmonary Disease
Campylobacter gracilis: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, periodontitis, Caries, Ulcerative Colitis, Obesity, Psoriasis, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Aerobic vaginitis, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis
Streptococcus intermedius: Type 2 Diabetes, periodontitis, Crohn's Disease, Caries, Obesity, Parkinson's Disease, Colorectal cancer, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Irritable Bowel Syndrome, Autism, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Autism spectrum disorders, Rheumatoid Arthritis
Streptococcus mitis: Obesity, Type 2 Diabetes, Cystic Fibrosis, HIV infection, Crohn's Disease, periodontitis, Caries, Chronic Obstructive Pulmonary Disease, Cirrhosis, Parkinson's Disease, Colorectal cancer, Psoriasis, Irritable Bowel Syndrome, Asthma, Aggressive periodontitis, Rheumatoid Arthritis, Smoking, Ulcerative Colitis, Oral cancer, Systemic lupus erythematosus
Bifidobacterium: Hypertension, Infantile eczema, Multiple Sclerosis, Inflammatory Bowel Disease, Thyroid carcinoma, Alcoholism, Coronary artery disease, Hepatocellular cancer, Major depressive disorder, Cholestasis, Ankylosing spondylitis, Type 1 Diabetes, Autism spectrum disorders, Non-alcoholic fatty liver disease, Hepatitis B, Ulcerative Colitis, Autism, Chronic kidney disease, Primary sclerosing cholangitis, Alzheimer's Disease
Ruminococcus productus: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Veillonella: Ulcerative Colitis, Cirrhosis, Autism spectrum disorders, Rheumatoid Arthritis, Autism, Chronic kidney disease, Type 1 Diabetes, Inflammatory Bowel Disease, Non-alcoholic fatty liver disease, Alcoholism, Multiple Sclerosis, Psoriasis, Asthma, Schizophrenia, Crohn's Disease, Type 2 Diabetes, Coronary artery disease, HIV infection, Cystic Fibrosis, Infantile eczema
Bacteroides: Hypertension, Thyroid carcinoma, Infantile eczema, Major depressive disorder, Hepatocellular cancer, Multiple Sclerosis, Coronary artery disease, Alcoholism, Inflammatory Bowel Disease, Ankylosing spondylitis, Cholestasis, Hepatitis B, Type 1 Diabetes, Non-alcoholic fatty liver disease, Primary sclerosing cholangitis, Alzheimer's Disease, Autism spectrum disorders, Chronic kidney disease, Pancreatic cancer, Primary biliary cholangitis
Pseudomonas aeruginosa: Type 2 Diabetes, Crohn's Disease, periodontitis, Colorectal cancer, Caries, Parkinson's Disease, Obesity, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Irritable Bowel Syndrome, Autism, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Autism spectrum disorders, Oral cancer
Bifidobacterium catenulatum: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, periodontitis, Caries, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Bifidobacterium longum: Obesity, Type 2 Diabetes, Cystic Fibrosis, HIV infection, Crohn's Disease, Chronic Obstructive Pulmonary Disease, Cirrhosis, Caries, periodontitis, Parkinson's Disease, Colorectal cancer, Psoriasis, Rheumatoid Arthritis, Irritable Bowel Syndrome, Asthma, Smoking, Systemic lupus erythematosus, Oral cancer, Ulcerative Colitis, Aggressive periodontitis
Bifidobacterium dentium: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Obesity, Caries, periodontitis, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Asthma, Schizophrenia, Irritable Bowel Syndrome, Autism, Chronic Obstructive Pulmonary Disease, Autism spectrum disorders, Rheumatoid Arthritis, Oral cancer
Enterococcus: Multiple Sclerosis, Inflammatory Bowel Disease, Alcoholism, Coronary artery disease, Infantile eczema, Hepatocellular cancer, Hypertension, Type 1 Diabetes, Non-alcoholic fatty liver disease, Chronic kidney disease, Autism spectrum disorders, Thyroid carcinoma, Ulcerative Colitis, Rheumatoid Arthritis, Ankylosing spondylitis, Cholestasis, Primary sclerosing cholangitis, Cirrhosis, Autism, Hepatitis B
Enterobacter: Rheumatoid Arthritis, Cirrhosis, Chronic kidney disease, Systemic lupus erythematosus, Ulcerative Colitis, HIV infection, Cystic Fibrosis, Irritable Bowel Syndrome, Autism spectrum disorders, Oral cancer, Type 2 Diabetes, Non-alcoholic fatty liver disease, Psoriasis, Autism, Chronic Obstructive Pulmonary Disease, Behcet's Disease, Type 1 Diabetes, Obesity, Asthma, Crohn's Disease
Prevotella: Major depressive disorder, Thyroid carcinoma, Hypertension, Infantile eczema, Hepatocellular cancer, Coronary artery disease, Ankylosing spondylitis, Alcoholism, Multiple Sclerosis, Cholestasis, Hepatitis B, Inflammatory Bowel Disease, Alzheimer's Disease, Primary biliary cholangitis, Type 1 Diabetes, Primary sclerosing cholangitis, Pancreatic cancer, Non-alcoholic fatty liver disease, Allergy, Autism spectrum disorders
Akkermansia muciniphila: Type 2 Diabetes, Cystic Fibrosis, Obesity, HIV infection, Cirrhosis, Crohn's Disease, Ulcerative Colitis, Psoriasis, Rheumatoid Arthritis, Chronic Obstructive Pulmonary Disease, Asthma, Irritable Bowel Syndrome, Parkinson's Disease, Systemic lupus erythematosus, Oral cancer, Schizophrenia, Colorectal cancer, Autism spectrum disorders, Caries, Autism
Bacteroides intestinalis: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Ulcerative Colitis, Caries, Obesity, Psoriasis, periodontitis, Cystic Fibrosis, Cirrhosis, Schizophrenia, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Clostridium boltae: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Caries, periodontitis, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Rheumatoid Arthritis
Clostridium hathewayi: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Ulcerative Colitis, Caries, periodontitis, Psoriasis, Obesity, Cystic Fibrosis, Schizophrenia, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Clostridium ramosum: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Ulcerative Colitis, Colorectal cancer, Caries, Obesity, Psoriasis, periodontitis, Cystic Fibrosis, Cirrhosis, Schizophrenia, HIV infection, Autism, Asthma, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Clostridium symbiosum: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Obesity, Cystic Fibrosis, Colorectal cancer, Caries, Psoriasis, periodontitis, Ulcerative Colitis, Cirrhosis, HIV infection, Asthma, Schizophrenia, Irritable Bowel Syndrome, Autism, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Autism spectrum disorders, Oral cancer
Escherichia coli: Cystic Fibrosis, HIV infection, Type 2 Diabetes, Obesity, Cirrhosis, Rheumatoid Arthritis, Chronic Obstructive Pulmonary Disease, Systemic lupus erythematosus, Crohn's Disease, Irritable Bowel Syndrome, Psoriasis, Oral cancer, Ulcerative Colitis, Asthma, Smoking, Chronic kidney disease, Parkinson's Disease, Autism spectrum disorders, Behcet's Disease, Schizophrenia
Alistipes: Chronic kidney disease, Rheumatoid Arthritis, Multiple Sclerosis, Cirrhosis, Alcoholism, Non-alcoholic fatty liver disease, Type 1 Diabetes, Autism spectrum disorders, Ulcerative Colitis, Inflammatory Bowel Disease, Systemic lupus erythematosus, Coronary artery disease, Hepatocellular cancer, HIV infection, Autism, Infantile eczema, Primary sclerosing cholangitis, Behcet's Disease, Cystic Fibrosis, Irritable Bowel Syndrome
Parabacteroides: Multiple Sclerosis, Infantile eczema, Hypertension, Coronary artery disease, Hepatocellular cancer, Alcoholism, Inflammatory Bowel Disease, Thyroid carcinoma, Ankylosing spondylitis, Cholestasis, Major depressive disorder, Type 1 Diabetes, Non-alcoholic fatty liver disease, Chronic kidney disease, Hepatitis B, Primary sclerosing cholangitis, Autism spectrum disorders, Alzheimer's Disease, Rheumatoid Arthritis, Ulcerative Colitis
Subdoligranulum: Chronic kidney disease, Rheumatoid Arthritis, Multiple Sclerosis, Non-alcoholic fatty liver disease, Cirrhosis, Systemic lupus erythematosus, Type 1 Diabetes, Inflammatory Bowel Disease, Alcoholism, Autism spectrum disorders, Behcet's Disease, Ulcerative Colitis, HIV infection, Primary sclerosing cholangitis, Coronary artery disease, Hepatocellular cancer, Cystic Fibrosis, Oral cancer, Autism, Irritable Bowel Syndrome
Lachnospiraceae: Rheumatoid Arthritis, Chronic kidney disease, Cirrhosis, Autism spectrum disorders, Ulcerative Colitis, Multiple Sclerosis, Non-alcoholic fatty liver disease, Type 1 Diabetes, Alcoholism, Systemic lupus erythematosus, Inflammatory Bowel Disease, HIV infection, Cystic Fibrosis, Autism, Coronary artery disease, Behcet's Disease, Oral cancer, Asthma, Hepatocellular cancer, Primary sclerosing cholangitis
Haemophilus parainfluenzae: Obesity, Cystic Fibrosis, Type 2 Diabetes, HIV infection, Crohn's Disease, Caries, Chronic Obstructive Pulmonary Disease, Cirrhosis, periodontitis, Colorectal cancer, Psoriasis, Parkinson's Disease, Asthma, Rheumatoid Arthritis, Irritable Bowel Syndrome, Oral cancer, Ulcerative Colitis, Smoking, Systemic lupus erythematosus, Aggressive periodontitis
Roseburia intestinalis: Type 2 Diabetes, Crohn's Disease, Cystic Fibrosis, Obesity, Ulcerative Colitis, Cirrhosis, Parkinson's Disease, Psoriasis, HIV infection, Asthma, Schizophrenia, Colorectal cancer, Irritable Bowel Syndrome, Autism, Caries, Rheumatoid Arthritis, Chronic Obstructive Pulmonary Disease, periodontitis, Autism spectrum disorders, Oral cancer
Roseburia Inulinivorans: Type 2 Diabetes, Crohn's Disease, Obesity, Cystic Fibrosis, Parkinson's Disease, Colorectal cancer, Caries, Psoriasis, Ulcerative Colitis, Cirrhosis, periodontitis, HIV infection, Asthma, Schizophrenia, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Autism, Rheumatoid Arthritis, Oral cancer, Autism spectrum disorders
Eubacterium: Rheumatoid Arthritis, Cirrhosis, Cystic Fibrosis, Systemic lupus erythematosus, HIV infection, Chronic kidney disease, Chronic Obstructive Pulmonary Disease, Type 2 Diabetes, Obesity, Oral cancer, Irritable Bowel Syndrome, Ulcerative Colitis, Behcet's Disease, Psoriasis, Asthma, Smoking, Crohn's Disease, Autism spectrum disorders, Non-alcoholic fatty liver disease, Type 1 Diabetes
Erysipelotrichaceae: Cystic Fibrosis, Obesity, HIV infection, Type 2 Diabetes, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Cirrhosis, Systemic lupus erythematosus, Irritable Bowel Syndrome, Smoking, Crohn's Disease, Oral cancer, Psoriasis, Asthma, Ulcerative Colitis, Chronic kidney disease, Parkinson's Disease, Behcet's Disease, Autism spectrum disorders, Schizophrenia
Bacteroides vulgatus: Obesity, Cystic Fibrosis, HIV infection, Type 2 Diabetes, Cirrhosis, Rheumatoid Arthritis, Crohn's Disease, Chronic Obstructive Pulmonary Disease, Ulcerative Colitis, Systemic lupus erythematosus, Irritable Bowel Syndrome, Psoriasis, Asthma, Chronic kidney disease, Oral cancer, Autism spectrum disorders, Smoking, Parkinson's Disease, Autism, Schizophrenia
Streptococcus: Hypertension, Thyroid carcinoma, Infantile eczema, Major depressive disorder, Hepatocellular cancer, Coronary artery disease, Multiple Sclerosis, Alcoholism, Inflammatory Bowel Disease, Cholestasis, Ankylosing spondylitis, Hepatitis B, Type 1 Diabetes, Non-alcoholic fatty liver disease, Autism spectrum disorders, Alzheimer's Disease, Primary sclerosing cholangitis, Pancreatic cancer, Chronic kidney disease, Primary biliary cholangitis
Escherichia: Systemic lupus erythematosus, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Smoking, Cystic Fibrosis, HIV infection, Obesity, Behcet's Disease, Chronic kidney disease, Oral cancer, Cirrhosis, Type 2 Diabetes, Irritable Bowel Syndrome, Sj?gren Syndrome, Asthma, Psoriasis, Crohn's Disease, Non-alcoholic fatty liver disease, Ulcerative Colitis, Autism spectrum disorders
Lachnospira: Rheumatoid Arthritis, Systemic lupus erythematosus, Cystic Fibrosis, Cirrhosis, HIV infection, Chronic kidney disease, Chronic Obstructive Pulmonary Disease, Type 2 Diabetes, Obesity, Oral cancer, Behcet's Disease, Irritable Bowel Syndrome, Smoking, Asthma, Ulcerative Colitis, Psoriasis, Autism spectrum disorders, Crohn's Disease, Non-alcoholic fatty liver disease, Type 1 Diabetes
Faecalibacterium: Thyroid carcinoma, Hypertension, Infantile eczema, Major depressive disorder, Hepatocellular cancer, Multiple Sclerosis, Coronary artery disease, Alcoholism, Inflammatory Bowel Disease, Ankylosing spondylitis, Cholestasis, Hepatitis B, Type 1 Diabetes, Non-alcoholic fatty liver disease, Primary sclerosing cholangitis, Alzheimer's Disease, Chronic kidney disease, Pancreatic cancer, Autism spectrum disorders, Primary biliary cholangitis
Acidaminococcus: Cystic Fibrosis, Rheumatoid Arthritis, HIV infection, Cirrhosis, Systemic lupus erythematosus, Type 2 Diabetes, Chronic Obstructive Pulmonary Disease, Obesity, Oral cancer, Irritable Bowel Syndrome, Psoriasis, Chronic kidney disease, Smoking, Crohn's Disease, Ulcerative Colitis, Asthma, Behcet's Disease, Parkinson's Disease, Autism spectrum disorders, Schizophrenia
Akkermansia: Chronic kidney disease, Rheumatoid Arthritis, Cirrhosis, Systemic lupus erythematosus, Non-alcoholic fatty liver disease, Ulcerative Colitis, Autism spectrum disorders, Multiple Sclerosis, Type 1 Diabetes, HIV infection, Alcoholism, Inflammatory Bowel Disease, Cystic Fibrosis, Behcet's Disease, Autism, Oral cancer, Irritable Bowel Syndrome, Primary sclerosing cholangitis, Chronic Obstructive Pulmonary Disease, Asthma
Citrobacter: Rheumatoid Arthritis, Systemic lupus erythematosus, Cystic Fibrosis, HIV infection, Cirrhosis, Chronic kidney disease, Chronic Obstructive Pulmonary Disease, Obesity, Type 2 Diabetes, Irritable Bowel Syndrome, Behcet's Disease, Oral cancer, Smoking, Ulcerative Colitis, Psoriasis, Asthma, Crohn's Disease, Non-alcoholic fatty liver disease, Autism spectrum disorders, Type 1 Diabetes
Leptospira: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Uveitits, Aerobic vaginitis, Breast cancer
Pseudoalteromonas: Type 2 Diabetes, Parkinson's Disease, periodontitis, Crohn's Disease, Caries, Colorectal cancer, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, Asthma, HIV infection, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease, Oral cancer
