Collinsella aerofaciens: Irritable bowel syndrome(IBS), Cystic fibrosis, Type 1 diabetes, Bacterial Vaginosis, Colon cancer, Liver cirrhosis, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, New-onset untreated rheumatoid arthrits, Skin and mucosal infections, COPD, Inflammatory bowel disease(IBD), Whipple's disease
Desulfovibrio: Type 1 diabetes, Periodontal, Necrotizing Enterocolitis, Crohn's disease(CD), Ileal Crohn's disease(CD), Psoriasis, Clostridium difficile infection(CDI), Colorectal carcinoma, Asthma, Obesity, COPD, Type 2 diabetes, Ulcerative colitis, Inflammatory bowel disease(IBD), Rheumatoid arthrits, Systemic inflammatory response syndrome, Diarrhea Irritable bowel syndrome(IBS), Kidney stones, Atopy, Skin and mucosal infections
Ruminococcus productus: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Veillonella: Liver cirrhosis, Type 1 diabetes, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 2 diabetes, Bacterial Vaginosis, COPD, Asthma, Psoriasis, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), Obesity, Inflammatory bowel disease(IBD), Ulcerative colitis, Systemic inflammatory response syndrome, Cystic fibrosis, Rheumatoid arthrits
Bacteroidetes: Liver cirrhosis, Type 1 diabetes, Necrotizing Enterocolitis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Type 2 diabetes, Asthma, COPD, Psoriasis, Bacterial Vaginosis, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Inflammatory bowel disease(IBD), Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Firmicutes: Liver cirrhosis, Type 1 diabetes, Necrotizing Enterocolitis, Bacterial Vaginosis, Crohn's disease(CD), Type 2 diabetes, Clostridium difficile infection(CDI), Psoriasis, COPD, Asthma, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Bacteroides fragilis: Type 1 diabetes, Liver cirrhosis, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Crohn's disease(CD), Periodontal, Ileal Crohn's disease(CD), Type 2 diabetes, Psoriasis, Colorectal carcinoma, Asthma, COPD, Bacterial Vaginosis, Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Irritable bowel syndrome(IBS), Rheumatoid arthrits, Systemic inflammatory response syndrome, Skin and mucosal infections
Clostridium leptum: Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Psoriasis, Asthma, Type 2 diabetes, Clostridium difficile infection(CDI), COPD, Type 1 diabetes, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Ulcerative colitis, Bacterial Vaginosis, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits, Irritable bowel syndrome(IBS), Skin and mucosal infections
Atopobium: Bacterial Vaginosis, Cystic fibrosis, Liver cirrhosis, Type 2 diabetes, Type 1 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Obesity, Atopic dermatitis, Skin and mucosal infections, Asthma, Necrotizing Enterocolitis, Psoriasis, Ulcerative colitis, Colorectal carcinoma, Clostridium difficile infection(CDI), Rheumatoid arthrits, Inflammatory bowel disease(IBD), Colon cancer
Atopobium vaginae: Bacterial Vaginosis, Cystic fibrosis, Type 1 diabetes, Liver cirrhosis, Type 2 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Necrotizing Enterocolitis, Obesity, Asthma, Psoriasis, Skin and mucosal infections, Atopic dermatitis, Clostridium difficile infection(CDI), Colorectal carcinoma, Ulcerative colitis, Ileal Crohn's disease(CD), Inflammatory bowel disease(IBD), Periodontal
Clostridiales: Bacterial Vaginosis, Liver cirrhosis, Type 2 diabetes, Crohn's disease(CD), Necrotizing Enterocolitis, COPD, Psoriasis, Asthma, Type 1 diabetes, Cystic fibrosis, Clostridium difficile infection(CDI), Colorectal carcinoma, Obesity, Ileal Crohn's disease(CD), Periodontal, Ulcerative colitis, Inflammatory bowel disease(IBD), Irritable bowel syndrome(IBS), Rheumatoid arthrits, Systemic inflammatory response syndrome
Eggerthella: Bacterial Vaginosis, Cystic fibrosis, Liver cirrhosis, Type 2 diabetes, Type 1 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Obesity, Atopic dermatitis, Skin and mucosal infections, Asthma, Necrotizing Enterocolitis, Psoriasis, Ulcerative colitis, Colorectal carcinoma, Clostridium difficile infection(CDI), Rheumatoid arthrits, Inflammatory bowel disease(IBD), Colon cancer
Gardnerella vaginalis: Bacterial Vaginosis, Cystic fibrosis, Liver cirrhosis, Type 2 diabetes, Type 1 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Obesity, Atopic dermatitis, Skin and mucosal infections, Asthma, Necrotizing Enterocolitis, Psoriasis, Ulcerative colitis, Colorectal carcinoma, Clostridium difficile infection(CDI), Rheumatoid arthrits, Inflammatory bowel disease(IBD), Colon cancer
Lactobacillus  crispatus: Bacterial Vaginosis, Cystic fibrosis, Liver cirrhosis, Type 2 diabetes, Type 1 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Obesity, Atopic dermatitis, Skin and mucosal infections, Asthma, Necrotizing Enterocolitis, Psoriasis, Ulcerative colitis, Colorectal carcinoma, Clostridium difficile infection(CDI), Rheumatoid arthrits, Inflammatory bowel disease(IBD), Colon cancer
Leptotrichia: Bacterial Vaginosis, Cystic fibrosis, Liver cirrhosis, Type 2 diabetes, Type 1 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Obesity, Atopic dermatitis, Skin and mucosal infections, Asthma, Necrotizing Enterocolitis, Psoriasis, Ulcerative colitis, Colorectal carcinoma, Clostridium difficile infection(CDI), Rheumatoid arthrits, Inflammatory bowel disease(IBD), Colon cancer
Megasphaera: Liver cirrhosis, Bacterial Vaginosis, Type 2 diabetes, Type 1 diabetes, Crohn's disease(CD), Cystic fibrosis, COPD, Clostridium difficile infection(CDI), Necrotizing Enterocolitis, Irritable bowel syndrome(IBS), Psoriasis, Asthma, Colorectal carcinoma, Obesity, Periodontal, Inflammatory bowel disease(IBD), Ulcerative colitis, Ileal Crohn's disease(CD), Skin and mucosal infections, Atopic dermatitis
Bacteroides: Liver cirrhosis, Type 1 diabetes, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 2 diabetes, Bacterial Vaginosis, COPD, Asthma, Psoriasis, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Clostridium difficile: Atopic sensitisation, Allergic sensitization, Recurrent wheeze, Gastric and duodenal ulcer, Allergic asthma, Guttate psoriasis, Colon cancer, Atopic dermatitis, Diarrhea Irritable bowel syndrome(IBS), Whipple's disease, Allergy, New-onset untreated rheumatoid arthrits, Atopy, Eczema, Gastro-oesophageal reflux, Kidney stones, Infectious colitis, Constipation Irritable bowel syndrome(IBS), Skin and mucosal infections, Rheumatoid arthrits
Escherichia coli: Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Psoriasis, Type 2 diabetes, Asthma, COPD, Clostridium difficile infection(CDI), Colorectal carcinoma, Ileal Crohn's disease(CD), Periodontal, Bacterial Vaginosis, Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits, Type 1 diabetes, Irritable bowel syndrome(IBS), Skin and mucosal infections
Clostridium cocleatum: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Coprococcus: Liver cirrhosis, Irritable bowel syndrome(IBS), Type 1 diabetes, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Bacterial Vaginosis, Type 2 diabetes, Crohn's disease(CD), Cystic fibrosis, COPD, Obesity, Asthma, Inflammatory bowel disease(IBD), Colon cancer, Systemic inflammatory response syndrome, Periodontal, Ulcerative colitis, Constipation Irritable bowel syndrome(IBS), Psoriasis, Colorectal carcinoma
Actinobacteria: Type 1 diabetes, Liver cirrhosis, Necrotizing Enterocolitis, Bacterial Vaginosis, Crohn's disease(CD), Type 2 diabetes, Clostridium difficile infection(CDI), COPD, Psoriasis, Asthma, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Lachnospiraceae: Liver cirrhosis, Type 1 diabetes, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 2 diabetes, Asthma, COPD, Psoriasis, Bacterial Vaginosis, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), Obesity, Inflammatory bowel disease(IBD), Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Proteobacteria: Liver cirrhosis, Type 1 diabetes, Necrotizing Enterocolitis, Irritable bowel syndrome(IBS), Crohn's disease(CD), Clostridium difficile infection(CDI), Type 2 diabetes, Asthma, COPD, Psoriasis, Bacterial Vaginosis, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Inflammatory bowel disease(IBD), Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Dietzia maris: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Cystic fibrosis, Atopic dermatitis, Type 1 diabetes, Colon cancer, Skin and mucosal infections, Obesity, New-onset untreated rheumatoid arthrits, Whipple's disease, Guttate psoriasis, Kidney stones, Diarrhea Irritable bowel syndrome(IBS), COPD, Type 2 diabetes, Recurrent wheeze, Atopic sensitisation, Allergic sensitization, Allergic asthma, Gastric and duodenal ulcer
Stenotrophomonas maltophilia: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Cystic fibrosis, Type 1 diabetes, Type 2 diabetes, Liver cirrhosis, COPD, Necrotizing Enterocolitis, Crohn's disease(CD), Obesity, Asthma, Clostridium difficile infection(CDI), Psoriasis, Ulcerative colitis, Colorectal carcinoma, Atopic dermatitis, Inflammatory bowel disease(IBD), Skin and mucosal infections, Colon cancer, Ileal Crohn's disease(CD)
Coxiellaceae: Irritable bowel syndrome(IBS), Bacterial Vaginosis, Cystic fibrosis, Liver cirrhosis, Type 1 diabetes, Necrotizing Enterocolitis, Colon cancer, COPD, Obesity, Clostridium difficile infection(CDI), Type 2 diabetes, Asthma, Crohn's disease(CD), Ulcerative colitis, Inflammatory bowel disease(IBD), Atopic dermatitis, Systemic inflammatory response syndrome, Psoriasis, Skin and mucosal infections, Constipation Irritable bowel syndrome(IBS)
Lysobacter: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Cystic fibrosis, Type 1 diabetes, Type 2 diabetes, COPD, Atopic dermatitis, Obesity, Liver cirrhosis, Colon cancer, Skin and mucosal infections, Necrotizing Enterocolitis, Asthma, Crohn's disease(CD), Ulcerative colitis, Guttate psoriasis, New-onset untreated rheumatoid arthrits, Psoriasis, Clostridium difficile infection(CDI), Rheumatoid arthrits
Rickettsiales: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Cystic fibrosis, Type 1 diabetes, Type 2 diabetes, COPD, Atopic dermatitis, Obesity, Liver cirrhosis, Colon cancer, Skin and mucosal infections, Necrotizing Enterocolitis, Asthma, Crohn's disease(CD), Ulcerative colitis, Guttate psoriasis, New-onset untreated rheumatoid arthrits, Psoriasis, Clostridium difficile infection(CDI), Inflammatory bowel disease(IBD)
Streptococcus mitis: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Cystic fibrosis, Type 1 diabetes, Type 2 diabetes, COPD, Atopic dermatitis, Obesity, Liver cirrhosis, Colon cancer, Skin and mucosal infections, Necrotizing Enterocolitis, Asthma, Crohn's disease(CD), Ulcerative colitis, Guttate psoriasis, New-onset untreated rheumatoid arthrits, Psoriasis, Clostridium difficile infection(CDI), Rheumatoid arthrits
Bacteroides ovatus: Type 1 diabetes, Liver cirrhosis, Necrotizing Enterocolitis, Crohn's disease(CD), Clostridium difficile infection(CDI), Type 2 diabetes, Psoriasis, Asthma, COPD, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), Bacterial Vaginosis, Obesity, Inflammatory bowel disease(IBD), Ulcerative colitis, Irritable bowel syndrome(IBS), Rheumatoid arthrits, Systemic inflammatory response syndrome, Skin and mucosal infections
Bacteroides uniformis: Liver cirrhosis, Type 1 diabetes, Necrotizing Enterocolitis, Crohn's disease(CD), Clostridium difficile infection(CDI), Type 2 diabetes, Psoriasis, COPD, Asthma, Periodontal, Colorectal carcinoma, Bacterial Vaginosis, Ileal Crohn's disease(CD), Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Bacteroides vulgatus: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 2 diabetes, Asthma, Psoriasis, COPD, Bacterial Vaginosis, Periodontal, Ileal Crohn's disease(CD), Colorectal carcinoma, Obesity, Inflammatory bowel disease(IBD), Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Betaproteobacteria: Bacterial Vaginosis, Type 1 diabetes, Liver cirrhosis, Type 2 diabetes, Crohn's disease(CD), Necrotizing Enterocolitis, COPD, Cystic fibrosis, Psoriasis, Asthma, Clostridium difficile infection(CDI), Colorectal carcinoma, Obesity, Ileal Crohn's disease(CD), Periodontal, Ulcerative colitis, Inflammatory bowel disease(IBD), Irritable bowel syndrome(IBS), Rheumatoid arthrits, Skin and mucosal infections
Candidate division TM7: Bacterial Vaginosis, Cystic fibrosis, Type 1 diabetes, Liver cirrhosis, Type 2 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Necrotizing Enterocolitis, Obesity, Psoriasis, Asthma, Skin and mucosal infections, Atopic dermatitis, Clostridium difficile infection(CDI), Colorectal carcinoma, Ulcerative colitis, Inflammatory bowel disease(IBD), Ileal Crohn's disease(CD), Rheumatoid arthrits
Clostridium: Liver cirrhosis, Bacterial Vaginosis, Type 1 diabetes, Type 2 diabetes, Crohn's disease(CD), Necrotizing Enterocolitis, COPD, Clostridium difficile infection(CDI), Psoriasis, Asthma, Colorectal carcinoma, Cystic fibrosis, Periodontal, Ileal Crohn's disease(CD), Obesity, Inflammatory bowel disease(IBD), Irritable bowel syndrome(IBS), Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits
Fusobacteria: Type 1 diabetes, Liver cirrhosis, Bacterial Vaginosis, Type 2 diabetes, Crohn's disease(CD), Clostridium difficile infection(CDI), Necrotizing Enterocolitis, COPD, Psoriasis, Cystic fibrosis, Colorectal carcinoma, Asthma, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Rheumatoid arthrits, Systemic inflammatory response syndrome
Lactobacillus: Liver cirrhosis, Bacterial Vaginosis, Type 1 diabetes, Type 2 diabetes, Necrotizing Enterocolitis, Crohn's disease(CD), COPD, Clostridium difficile infection(CDI), Psoriasis, Irritable bowel syndrome(IBS), Asthma, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits
Olsenella: Bacterial Vaginosis, Cystic fibrosis, Liver cirrhosis, Type 2 diabetes, Type 1 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Obesity, Atopic dermatitis, Skin and mucosal infections, Asthma, Necrotizing Enterocolitis, Psoriasis, Ulcerative colitis, Colorectal carcinoma, Clostridium difficile infection(CDI), Rheumatoid arthrits, Inflammatory bowel disease(IBD), Colon cancer
Porphyromonas uenonis: Bacterial Vaginosis, Cystic fibrosis, Liver cirrhosis, Type 2 diabetes, Type 1 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Obesity, Atopic dermatitis, Skin and mucosal infections, Asthma, Necrotizing Enterocolitis, Psoriasis, Ulcerative colitis, Colorectal carcinoma, Clostridium difficile infection(CDI), Rheumatoid arthrits, Inflammatory bowel disease(IBD), Colon cancer
Shuttleworthia: Type 1 diabetes, Bacterial Vaginosis, Liver cirrhosis, Cystic fibrosis, Type 2 diabetes, COPD, Crohn's disease(CD), Clostridium difficile infection(CDI), Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Psoriasis, Colorectal carcinoma, Asthma, Ileal Crohn's disease(CD), Periodontal, Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Skin and mucosal infections, Rheumatoid arthrits
Streptobacillus: Bacterial Vaginosis, Cystic fibrosis, Liver cirrhosis, Type 2 diabetes, Type 1 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Obesity, Atopic dermatitis, Skin and mucosal infections, Asthma, Necrotizing Enterocolitis, Psoriasis, Ulcerative colitis, Colorectal carcinoma, Clostridium difficile infection(CDI), Rheumatoid arthrits, Inflammatory bowel disease(IBD), Colon cancer
Propionibacterium: Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Asthma, Psoriasis, Type 2 diabetes, COPD, Clostridium difficile infection(CDI), Bacterial Vaginosis, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Type 1 diabetes, Ulcerative colitis, Inflammatory bowel disease(IBD), Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Propionibacterium acnes: Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Asthma, Psoriasis, Type 2 diabetes, COPD, Clostridium difficile infection(CDI), Bacterial Vaginosis, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Type 1 diabetes, Ulcerative colitis, Inflammatory bowel disease(IBD), Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Streptococcus: Type 1 diabetes, Liver cirrhosis, Necrotizing Enterocolitis, Crohn's disease(CD), Clostridium difficile infection(CDI), Type 2 diabetes, Psoriasis, Asthma, COPD, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), Bacterial Vaginosis, Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Irritable bowel syndrome(IBS), Constipation Irritable bowel syndrome(IBS)
Alcaligenaceae: Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, COPD, Irritable bowel syndrome(IBS), Type 2 diabetes, Bacterial Vaginosis, Clostridium difficile infection(CDI), Obesity, Colorectal carcinoma, Ileal Crohn's disease(CD), Periodontal, Ulcerative colitis, Inflammatory bowel disease(IBD), Liver cirrhosis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis, Type 1 diabetes
Coriobacteriaceae: Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, COPD, Irritable bowel syndrome(IBS), Type 2 diabetes, Bacterial Vaginosis, Clostridium difficile infection(CDI), Obesity, Colorectal carcinoma, Ileal Crohn's disease(CD), Periodontal, Ulcerative colitis, Inflammatory bowel disease(IBD), Liver cirrhosis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis, Type 1 diabetes
Erysipelotrichaceae: Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, COPD, Irritable bowel syndrome(IBS), Type 2 diabetes, Bacterial Vaginosis, Clostridium difficile infection(CDI), Obesity, Colorectal carcinoma, Ileal Crohn's disease(CD), Periodontal, Ulcerative colitis, Inflammatory bowel disease(IBD), Liver cirrhosis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis, Type 1 diabetes
Methanobrevibacter smithii: Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, COPD, Irritable bowel syndrome(IBS), Type 2 diabetes, Bacterial Vaginosis, Clostridium difficile infection(CDI), Obesity, Colorectal carcinoma, Ileal Crohn's disease(CD), Periodontal, Ulcerative colitis, Inflammatory bowel disease(IBD), Liver cirrhosis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis, Type 1 diabetes
Prevotellaceae: Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Liver cirrhosis, Type 1 diabetes, Clostridium difficile infection(CDI), Asthma, Bacterial Vaginosis, Crohn's disease(CD), COPD, Obesity, Type 2 diabetes, Psoriasis, Cystic fibrosis, Ulcerative colitis, Ileal Crohn's disease(CD), Inflammatory bowel disease(IBD), Colorectal carcinoma, Periodontal, Systemic inflammatory response syndrome, Colon cancer
Enterobacteriaceae: Liver cirrhosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Crohn's disease(CD), Clostridium difficile infection(CDI), Type 1 diabetes, Type 2 diabetes, Asthma, COPD, Psoriasis, Bacterial Vaginosis, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Inflammatory bowel disease(IBD), Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
